stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.78,264.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.34,182.48,0,0,0,0,0,0,0,0,0,0,0,13.67,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,0,0,15.67,0,0,0,12.54,0,0,0,64.36,4.25,0,33.56,0,0,0,0,0,0,0
 10-12,0,0,13.08,0,0,8.94,0,0,0,0,0,0,0,114,39.44,0,76.09,0,5.21,0,0,0,0,0
 14-21,0,0,0,0,0.92,0,0,0,0,0,0,1.84,0,3.83,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.6,0,0.66,0,0,0,0,0,0.65,0.78,0.67,0,0.83,0,0,0,0.78,0,0,0,0
 36-46,0,0,0,0,0,0,3.63,0,0,0,0,0,0,1.85,0,0,0,0.66,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.58,0,0,0.42,0.42,1.08,0,0,0,0,0,0,0,1.18,0,0.63
 60-70,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.56,0,0,0,0,0,0.72,0,0.87,0,0,0,0,0,2.32,0,0,0.52,0
 84-94,0,0,0,0,5.23,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0.78,0.64,0,0
108-118,0,0,0,1.68,0,5.54,0,0,0,0,0.91,0.49,0,0,0,0,0,0,0,0,0,0,0,0
