stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,heart,immune,liver,mesenchyme,mucous,neural,olfactory,periderm,pronephros,spinal.cord,vasculature
  5-6,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0
 24-34,0,0,0.94,0,0,0,0,0,0,0,0,0,2.88,0.89,3.32,0,0.83,0
 36-46,0,0,0,2.5,0,0,0,0,0.96,0,0,0,11.41,0,23.84,0,1.09,0
 48-58,0,0,0,0.6,0,0,0.38,0,0,0,0,0,2.55,0,7.55,0,1.41,0
 60-70,0,0,0,0.83,0,0,0,0,1.81,0,0,0,3.06,0,20.16,0,2.44,0
 72-82,0,0,0,5.69,0,0.8,0,0,0.69,0,2.66,0.93,4.28,0,9.02,0.5,0.72,0
 84-94,0,4.89,3.52,0,0.8,0,5.67,0,0.92,0,2.34,0.76,5.58,0,12.5,0,0,1.43
 96-106,0,0,0,0,1.1,0.61,0.85,0,0,1.03,0,0,6.01,0,15.79,0,0,0.56
108-118,0,1.03,2.46,0,0.9,0,3.04,2.95,0.95,0,0,0,9.78,0,10.88,0,0,2.46
120,0,0,0,0,0,4.27,16.03,0,0,3.02,0,0,0,0,30.57,0,0,0
