stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,89.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.03,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.6,0,0,0,3.7,0,3.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,15.87,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,9.64,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.81,0,0,12.46,0,0,0,0,0,0,0,0,0,0,2.72,0,0,27.79,1.15,0,0,0,0,0,1.95,0,0,1.97,0,0,0,0,0
 24-34,0,0,0,0.67,0,21.35,0,0,0,0,0,0,0,0,1.2,0,4.72,0,2.26,30.98,0,1.45,0,0,0,0.95,0,0.64,0,3.25,0,0,0,0,0
 36-46,0,0,0,0,0,33.42,0,0,4.18,0,0,3.61,0,0,0,0,1.16,0.67,1.21,33.77,0,0,0,0,0,0,0,0,4.81,9,0,0,1.33,0,0
 48-58,0,0,0,0,0,15.92,0,0,5.12,0,0,0,0,0,0,0.57,4.35,0,0,38.93,0,0,0,0,0,0.76,0,0,0,8.16,0,0,0,0,0
 60-70,0,0,0.81,0,0,9.05,0,0,7.84,0.75,0,0,0,0,0,0.73,6.8,0,0,28.85,0,0,0,0,0,0,0,0.76,0,2.86,0,0,0,0,0
 72-82,0,0,0,0,0,13.31,0,1.51,8.24,0,0.63,0.66,0.64,0.53,0,0,16.58,2.92,1.18,26.44,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,5.62,0,0.59,12.11,0,0,10.92,0,0,0,5,0,1.54,0,13.17,2.07,0.55,10.67,2.63,0.64,0,0,0,0,0,0.56,0,9.79,0,1.03,0,0,0
 96-106,0,0,0,0,0,9.22,0,1.21,5.9,0,0,0,0,0,7.08,0,7.52,0,0,11.76,0,0.84,0.8,0,0,0,0,0.57,0,0,2.15,0,0,0.81,0.63
108-118,0,0,1.24,0,0,3.81,0,0,20.28,0,0,0,1.53,0,0,0,17.6,0,0.9,13.61,0,0,0,0,0.91,0.42,0,0,0,0,1.19,0.47,0.5,0,0
120,0,0,1.32,0,0,43.18,1.42,0,7.42,0,0,0,0,0,0,0,17.73,0,0,23.02,0,1.09,0,0,0,0,0,0,0,0,0,0,0,3.54,0
