stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,29.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.28,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.65,0,0,0,0,23.3,0,0,0
 14-21,0,1.1,1.65,0,0,0,0,1.08,0,0,0,0,0,0,17.81,3.9,0,0,0,0,0,14.91,0,3.37,1682.66,2.8,0,0
 24-34,0,0,0,0.73,0,0,0,0,0,0,0,0.64,0,0,25.91,37.88,0,0,0.75,0,0,0,0,2.25,604.29,3.69,1.81,0
 36-46,0,0,0,0,2.23,0,0,0,0.71,0,0,2.09,0,0,24,10.39,0,0,0,0,2.21,0,0,4.62,20.34,3.02,0,0
 48-58,0,0,0,1.86,5.48,0.55,3.21,0,0.62,0,0,2.02,0,0,90.13,20.27,0,0,0,0,0.49,0,4.49,2.12,0,0.75,0.41,0
 60-70,0,0,0,9.49,32.95,0,0.58,0,1.38,0,0,3.78,0,0,57.48,7.57,0,0,0,0,6.03,0,0,0,0,4.97,0,0
 72-82,0,0,0,28.3,12.7,0,0.57,0,0.72,0,0,6.23,0,0,65.01,15.01,1.67,0,0,0,0,0,0,2.89,0,8,0,3.94
 84-94,0,0,5,0.62,10.1,0,0,0,1.58,0,0,1.41,1.13,0,39.52,18.25,0.74,0.95,0,0,0,0,0,0.63,0,0,0,1.57
 96-106,0,0,0,1.12,16.07,0,7.67,0,0.66,0.63,0,1.28,0,1.03,55.31,0,0,0,0,0,0.56,0,0,0,0,3.56,0.92,1.68
108-118,0,0,1.32,11.33,4.95,0,0,0,0.64,0,0.73,1.61,0,0,79.56,12.9,1.29,0,0,0,2.05,0,0,2.48,0,0,0,1.51
120,0,9.58,1.75,0,31.67,0,2.66,0,8.67,0,0,0,0,0,102.71,15.29,0,0,0,0,0,0,0,0,0,0,5.48,0
