stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.68,73.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,23.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.51,6.48,0,0,3.69,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.44,20.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.7,23.18,0,0,839.16,0,0,0,0,426.84,0,0,0,0,0,0
 14-21,0,0,0,6.9,9.76,0,3.03,0,0,0,2.66,0,47.48,0,0,0,0,0,21.84,0,0,126.72,54.15,0,0,0,0,0,3.11,49.79,3128.63,4266.02,7.74,0,0,7.66,0,0
 24-34,0,0,0,10.86,0,0,7.48,299.41,0,0.83,2.84,0,42.48,0,0,0,1.68,0,8.19,0,0,150.11,206.09,7.7,0,0.64,0,0,8.15,5.41,773.9,1680.23,33.72,0,0,32.91,0,0
 36-46,0,0,0,7.13,0,0,7.03,427.76,0,0,2.38,0,14.05,2.6,0.56,0,0,0,5.97,0,0,84.24,71.12,0,1.78,0.8,0,8.6,4.13,0,285.77,80.97,18.39,0,0,9.83,0,0
 48-58,0,0,0,2.93,1.85,0,25.59,190.38,0,1.7,5.35,0,10.91,0,0,0,0,6.87,9.74,0,0,81.86,86.81,0.39,0,0.42,0,0,8.85,0,115.62,0,23.7,0,0,3.68,0,0
 60-70,0,0,0,3.98,0,0,13.77,196.35,0,0,10.75,0,4.5,0.66,0,0,0,0,3.62,0,0,114.09,43.68,6.36,0,0,0,0,11.48,0,67.79,0,7.44,0,0,0,0,0
 72-82,0,0,0,0,4.11,0,33.16,122.85,0,1.17,1.63,2.88,0.81,0,0,0,0,0,6.25,0,0,32.72,45.49,0,0,0,1.13,1.03,0,0,40.62,0,5.75,0,0,0,0,0
 84-94,0,0,0,4.75,0,0,15.09,160.04,0,0,6.2,0,0,0,0,0,0.68,0,11.98,0,2.25,49.13,42.54,0,3.05,0,0,0,6.49,0,48.59,0,10.45,0.81,1.15,3.85,0,0
 96-106,0,0,0,6.73,0,0,30.76,215.23,1.22,3.57,11.47,0,3.48,3.65,0,0,9.08,0,36.81,0.71,0,24.67,66.62,0,4.11,1.94,1.2,6.9,1.24,0,56.05,0,0,0,0,3.12,2.56,11.37
108-118,0,0,0,2.75,1.34,1.76,31.33,242.02,0,0,4.94,0,1.71,0,0,2.23,0,0,33.89,0,0,85.44,51.97,0,0,1.62,0,1.89,10,0,65.86,0,0,0,0,1.19,0,7.71
120,0,0,0,1.34,0,0,15.39,234.01,0,0,15.87,0,1.85,0,1.45,0,0,0,1.22,0,3.17,87.47,73.56,0,0,0,0,0,4.27,0,48.85,0,0,0,0,0,3.81,0
