stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,0,52.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,52.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.55,14.6,4.38,0,0,27.98,0,0,0,0,7.86,0,0,0,0,0,0,0,0,0,0,173.76,19.39,0,0,59.02,4.34,0,0,0,0,0,0
 10-12,0,0,22.45,0,0,28.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.01,0,0,0,43.92,0,0,0,0,0,0,0
 14-21,0,0,0,9.9,0,4.44,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,16.93,0,0,1.96,1.2,1.51,13.5,3.08,4.94,15.32,0,0
 24-34,0,0,0.76,3.35,0,3.3,0,3.01,1.45,0,0,0,0,0,1.12,0,0,0,0,0,0,27.54,0,3.42,0,0,0,0,0,2.28,7.04,1.38,0
 36-46,0,0,0,1.98,0,4.39,0,0,1.9,0,0,0,0,0,0,0.62,0.61,1.18,0,0,0.72,29.99,0.68,2.63,0.69,0,6.91,0,1.02,0,0.68,0,0
 48-58,0,0,0,0,0,5.85,0.7,4.58,0,0,0,0.71,1.02,0,0,0,0,1.62,0,0,0.45,16,0,1.65,0,0,0,0,0,0,4.83,1.62,0
 60-70,0,0,0,1.05,0,24.65,1.8,0,2.34,1.58,0,0,0,0.66,0,0,0,0,0,0,0,22.47,4.5,2.27,2.96,0,0,0,0,0,0,0,1.96
 72-82,0,0,0,0,0,12.7,0,0,0,1.81,0,0,0,0,0.51,0,0,1.04,1.8,0,0,18.69,0,1.45,1.07,0,0,0,0,0,0,0.68,0
 84-94,0,0,0,1.3,0,14.78,0,0,4.92,0.91,0,0,0,0,0,0,0,2.16,0,0,0.55,6.35,0,5.18,0.6,0,0.76,0,0,0,0,0,0
 96-106,0,0,0,0.57,0,12.58,0,0,0,1.16,0,0,0,0,0,0,0,2.16,0,0.75,0,18.96,0,2.47,0,0,1.16,0,0,0,0,0,0
108-118,0,0,0,0,0,9.97,0,1.45,0,0,0,0,0,0,0,2.21,0,1.36,0,0,1.64,17.99,0,0,0,0,0.44,0,0,0,3.94,0,0
120,0,0,0,0,14.18,4.82,0,0,10.59,0,0,0,6.11,0,3.66,0,0,9.81,0,0,3.76,22.56,0,15.11,0,0,0,0,0,0,10.6,2.22,0
