stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,gut,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,visceral.smooth.muscle
  3-4,160.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,72.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.77,0,0,0,0,0,0,0
  7-9,0,5.77,0,0,0,0,0,0,0,0,0,0,0,0,9.43,0,3.33,5.78,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.21,0,0,0,0,7.7,0,0,0,0,0
 14-21,0,0,1.64,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0.81,0,0,0
 24-34,0,0,5.03,0,0,0,16.82,0,0,0.66,0,0,0,1.19,0,2.58,0,0,0,0,0.98,1.82,0,0,0
 36-46,0,0,0,0,0,0,6.25,0,0,0,0,0,0.69,3.73,2.98,0,0,0,0,0,0.76,0,3.2,0,0
 48-58,0,0,0,0,0.78,0,14.73,0.43,0,0,0,0,1.12,0,4.43,0,0,0,0,0,12.79,0,5.73,0,0
 60-70,0,0,0.68,0,0,0.83,6.16,0.9,0,0,0,0,0,0,0,3.17,0,0,0,0,2.19,0,1.89,0,0
 72-82,0,0,0,0,7.96,1.87,1.22,0,0,0,0,0,8.36,0,12.73,0,0,0,0,0,0,0,1.87,0,2.46
 84-94,0,0,0,0,0,3.68,1.56,0,0,0,0,1.35,7.39,0,29.34,1.75,0,0,0,0,2.15,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0.6,0,8.04,0,21.77,3.4,0,0.61,0,0,1.66,0,0,0.62,0
108-118,0,0,0.53,0,0,1.03,0,0,0.56,0,0,0,12.71,0.57,23.74,1.08,0,0,0,0,2.24,0,0,0.89,0
120,0,0,0,0,0,4.55,4.88,0,0,0,0,0,22.52,0,21.96,0,0,0,0,0,6.73,0,8.83,0,0
