stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.93,0,0,5.6,0,0,0,0,0,0,0
 14-21,0,0,0,16.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.79,0,0,0,0,0,6.7,0,0,0,0
 24-34,0,0,0,154.63,0,0,0,0.8,0,0,0,0.68,3.4,0,0,0,0,0,0,72.46,0.72,0.62,0,1.04,0,3.97,0,0,0,1.75
 36-46,0,0,0,696.43,0,0,0,4.89,0,0,0,2.37,0.94,0,1.69,0,1.6,0,0,96.45,0,0,0,0,0,6.51,0,0,0,4.42
 48-58,0,6.52,0,1424.6,0,0.93,0.63,18.47,0,0,0,0,14.74,0,0,0,10.55,0,1.94,230.32,0,0,0,0.5,0,3.92,0,0,0,4.28
 60-70,0,1.01,0.79,3135.9,3.1,2.8,0,36.37,0,10.66,0,0,3.23,0,0,2.79,5.65,0,0,203.11,0,2.22,0,4.2,0,1.45,0,0,0,0
 72-82,0,5.73,1.26,1763.09,0.75,0,0,28.47,2.04,0,0,0,7.35,0,0,0,6.59,0,0.74,46.48,0.95,0,0,0,0,1.21,0,0,1.02,2.47
 84-94,0,4.88,3.55,1496.84,0,0,0,46.09,0,0,0,0,22.48,1.05,0,0,3.18,2.16,0,55.78,0,0,0,0,0.73,0,0,0,0,2.9
 96-106,1.68,1.52,0,974.97,0,0,0,39.69,0,1.61,0,0,3.88,0,0,0,1.66,1.1,0.79,40.13,1.33,0.61,0,2.3,0,0,0.61,2.16,0,1.21
108-118,0,8.23,0,717.69,0,0,0,32.32,0,0,0.67,0.79,13.45,0,1.52,0,11.74,0,0,37.97,0,0,0,4.69,0,0,0,0,0,0
120,0,12.88,0,547.21,0,0,0,97.26,0,0,0,0,7.23,0,0,0,9.32,0,0,69.7,9.85,0,0,0,0,0,0,0,0,0
