stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,72.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.81,48.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.21,0,0,3.5,0,0,0,3.92,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,13.91,0,0,0,14.84,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.98,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,0,0,0,47.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.75,1.03,0,15.04,0,2.23,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,36.94,14.01,0.92,0,0,0,2.75,0,0,0,1.6,52.24,0,0,0,0,0
 24-34,0,0,3.45,2.73,3.28,0,0,10.46,0,2.26,0,1.43,0,0,0,0,0,0,0,0,3.78,2.07,0,0,5.83,461.47,2.81,21.76,0,0,0,0,0,0,0,0,381.23,0,0,8.07,0,0
 36-46,0,0,2.87,0,0.64,0,0,22.78,0,0,0,13.78,0,0,0.92,0,0,5.61,0,4.79,10.99,10.29,0.95,0,2.01,1312.96,1.32,37.33,3.31,0,0,0,0,17.24,0,0,472.98,0,0,0,0,0
 48-58,0,0,1.84,0,3.74,0,0,175.85,0.56,0.44,0,42.35,0,0,0,1.01,0,2.59,0,0,4.22,45.22,1.4,0.37,1.64,1422.41,17.61,25,4.63,0,0,7.93,0,0,0,0,265.99,0,0,0.86,0,0
 60-70,0,0,0.7,0,1.02,0,0,803.13,0,0,0,55.97,4.83,0,0.9,0.92,0,28.47,1.62,13.46,0,61.34,0,0.77,3.9,1984.21,2.13,42.74,7.22,0,0,21.35,0,0,0,0,225.82,0,0.68,8.17,3.08,0
 72-82,0,0,3.94,0,11.21,7.94,0,2080.06,0,2.83,1.76,81.93,1.12,0,0.79,10.5,0.63,14.71,2.24,0,0.87,129.68,0,6.14,3.72,2388.85,1.49,32.98,15.72,0,1.05,7.27,0,3.27,0,0,230.18,4.85,2.39,4.98,21.42,8.18
 84-94,5.55,0,22.94,0,37.15,8.23,0,1603.59,0,0,0,61.39,9.24,0,0,13.38,0,29.21,4.24,1.3,0,105.28,4.73,14.09,4.03,1956.41,0,52.45,23.26,0,0,4.65,0,1.6,0,0,179.23,1.53,3.94,6.62,42.89,0
 96-106,0,0,12.61,0,16.65,11.2,5.91,2119.32,1.34,2,0,123.66,12.54,0,2.94,9.79,0,48.34,7.77,13.74,0.67,119.85,0,7.92,3.79,1768.83,1.36,48.23,24.58,0,1.51,15.1,1.35,2.54,4.28,0,108.16,1.82,4.64,20.2,46.96,3.8
108-118,0,0,17.69,2.37,27.06,4.54,0,2073.17,0,0.56,0.77,164.98,5.25,0,3.25,8.25,1.68,69.63,5.63,10.42,4.49,115.44,6.07,5.46,4.72,1911.59,1.4,50.81,30.32,0,6.04,14.37,0,5.54,0,0,108.62,1.56,1.18,3.65,29.61,2.71
120,0,0,26.97,0,20.06,1.81,2.19,1995.17,5.49,0,0,251.49,10.12,0,2.18,28.38,2.21,51.92,5.01,40,0,115.98,0,0,0,4198.42,6,53.91,13.35,0,5.21,0,0,7.29,2.07,0,204.34,1.37,6.85,4.06,27.57,8.94
