stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,267.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.11,0,0,0,0,0,0,0,0,0,0
  5-6,24.85,329.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,10.41,0,0,0,0,11.14,0,0,0,0,0,0,0,0,0,0
  7-9,13.88,0,0,42.92,0,0,8.02,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,127.52,24.06,0,0,37.52,0,0,4.81,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.75,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,5.86,0,2.09,0,0,0,1.56,0.85,0,0,0,0,0,0,4.14,0,0,1.73,38.39,0.85,0,0.84,1.19,0,1.15,0,4.99,0,4.72,19.07,0,0,0,0,0
 24-34,0,0,0.96,0,2.06,0.61,6.49,0,0.92,0,0.95,0,0,0,0,0,0,0,6.38,0,0,6.1,71.25,0,2.02,0,0,0,4.24,0,0,0,1.11,21.76,0,0,1.44,0,8.14
 36-46,0,0,0,0,0,0,10.94,0,0,0,8.85,0,0,0,1.46,0,0,0,12.21,0,0,0.8,82,0,0,0,0,0,6.39,0,0,0,0,43.32,0,0,2.44,0,0
 48-58,0,0,0,0,0.58,0,21.09,0,5.54,0.81,10.59,0,0,0,0,0,0,0,10.35,0.5,0,2.88,99.22,0,1.46,1.32,0,0,9,0,0,0,0,18.98,0,0,0,0,0
 60-70,0,0,0,0,6.08,0,21.29,0,0,0,3.3,2.6,0,0,0,2.61,0,0,11.33,0,0,0.56,99.1,0,0.72,0,0,0,1.41,0,0,0,0,21.49,0,0,0,0,0
 72-82,0,0,0,0,4.73,0,31.96,0.8,0,2.17,8.84,0.64,0,0,0,0,0,0,37.18,0.74,1.84,5.2,73.82,0,0.74,0.68,0,1.4,0,0,0,0,0,3.65,0,1.6,2.13,2.35,0.63
 84-94,0,0,0,0,2,1.84,37.83,0,0,1.95,17.09,2.06,0,0,0,0,0.6,0,22.3,0,0,0,43.7,0.58,0.93,2.77,0,0,11.18,0,0,0,0,6.81,0,2.08,6,1.77,0
 96-106,0,0,0,0,2.17,1.09,40.47,0,1.5,0.99,16.01,2.47,0,1.56,0.89,0,0,0,14.19,0,0,1.86,71.19,0,0,0.77,0,0,12.42,0,0,5.77,0,5.18,0.81,5.21,0,1.67,0
108-118,0,0,0,0,8.31,4.95,27.33,0,0.55,0,14.95,0,0,0.68,1.27,5.85,0,0.74,22.62,0,0,2.11,70.87,0.45,0.61,0,0,0,10.02,0,0,0,0,1.5,10.95,0,1.98,0,0
120,0,0,0,0,0,0,32.35,0,4.13,0,10.06,0,0,0,2.52,0,1.18,0,33.23,3.49,0,0,150.25,1.48,0,0,0,11.71,6.24,0,0,0,0,5.23,2.24,0,0,0,1.64
