stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,103.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,131.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.21,0,0,0,0,0,0,0,0,0,44.53,0,8.62,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,12.08,0,12.31,0,0,0,0,0,0
 14-21,0,1.1,0,0,0,0,0,0,0,0,0,1.27,1.32,0,0,0,0,1.6,0,1.69,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.73,0,0.7,0,0.64,0,0,0,0,0,0,0,2.61
 36-46,0,0,0,2.13,0,0,0,0,0,0,0,0,0,9.05,0,0,0,0,0,0,4.43,0
 48-58,0,2.24,0,0,0.4,0,0.91,0,0,0,0,0,0,9.66,0,0,0.38,0,0,0,1.33,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,0,0,0,0,0,0,0,0
 72-82,0,0.52,0,0,0,1.16,0,0,0,0,0,0,0,9.23,0.53,0,0,0,0,0,1.2,0
 84-94,0,0,0,0,0,0,0.73,0,2.57,0,0,0,0,0,0,0,0,0,0,0,2.45,0
 96-106,0,1.42,0,1.03,0,0,0,1.64,0,0,0,1.5,0,3.47,0,0,7.5,0,0,0,0,0
108-118,0,0.45,0.5,0,0,0,0,0,0,0,6.06,0,0,3.04,0.49,0,1.41,0,0.72,0,0,0
