stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,iridophores,liver,melanocytes,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord,visceral_smooth_muscle
  3-4,48.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.26,0,6.7,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,11.38,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,1,0.74,0
 36-46,0,0,0,0,0,0,0,0,0,0,2.8,3.1,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,4.48,0,0,0,0,1.61,0,0,0,0,0,0
 72-82,0,0,0,1.81,0,0.93,8.51,0,0,0,0,3.68,0,0,1.14,0,0,0
 84-94,0,0,4.93,0,5.25,0,26.76,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.48,2.47,0,0,34.39,0,0.82,0,0.81,3.91,0.59,0,0,0,0,0
108-118,0,3.08,0.82,0,0,5.03,45.68,3.02,0,5.88,3.97,8.27,0,0,1.26,0,0,0
120,0,2.22,0,0,0,0,111.14,0,6.54,0,0,18.77,0,0,1.23,0,0,3.69
