stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,44.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,17.36,0,0,0,3.58,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.26,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,19.84,1.79,0,0,0,0,0,0,23.08,0,0
 24-34,0,0.8,1.28,0,0,2.22,0,0,0,0,0,0,0,0,0.77,0,1.7,255.69,0,4.45,0,0,0,0,0,59.75,0,0
 36-46,0,0,1.07,0,0,12.57,0,0,0.79,0,0,0,0,0,0,1.02,0,686.68,2.01,6.91,0,0,5.22,0,0,135.9,0,0
 48-58,0,0,1.44,2.35,0,82.6,0,0,6.58,0.92,0,0,0,0,0,5.16,0.69,939.28,3.92,1.49,0,0,0,0,0,149.51,0,0
 60-70,0,0,2.54,0,0,208.49,0,0,5.29,0,0,0,0,0,0,7.16,0,1398.1,0,0.89,0,0,5.73,0,0,180.3,0,0
 72-82,0,0,7.44,0,0,313.35,0,0,27.33,0,0,0.58,0,0,0,5.87,2.17,1326.47,0,1.37,0,0,0,0,0.53,170.11,0,1.32
 84-94,0,0,4.12,2.28,1.17,239.21,0,0,11.14,0,0,0,0,0,0,8.93,0,795.21,0,5.27,0,0,2.94,0,0,72.67,2.15,0
 96-106,0,0.99,3.37,1.85,0,164.66,0,0,15.95,0,0,0,0,0.75,0,8.73,1.26,799.9,0,8.16,0,0,0.57,0,0,30.46,0,0
108-118,0,0,5.7,6.34,2.96,181.82,0.43,0.65,12.39,0,0,0,4.41,2.39,0.69,7.45,0.99,908.62,0,4.34,1.31,0,4.23,0.94,0,44.94,0,0
120,0,0,4.54,0,0,158.4,0,0,21.46,0,0,0,0,0,0,26.94,0,1428.09,0,7.23,0,0,0,0,0,53.29,0,0
