stage,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,immune,mesenchyme,mucous,neural,periderm,vasculature
  5-6,25.37,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.13,0,0,0,0,0,0,0,0,10.54,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,5.94,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.01,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.67,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,3.73,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,3.51,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,3.08,0,0
 72-82,0,0,0,0,0,2.87,0,0,0,0,2.78,0,0
 84-94,0,0,0,0,1.81,0.91,0,0,0.67,0,0.62,0,0
 96-106,0,0,0,2.58,0,1.43,0,0,0,0,2.83,0,62.09
108-118,0,0,0,0,0,0.44,0,0.47,1.15,1.07,0,1.59,16.33
120,0,0,4.71,0,0,0,1.91,0,0,0,5.12,0,132.11
