stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,29.29,386.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.53,0,0,0,0,0,0,0,0
  5-6,20.99,202.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.96,0,0,0,0,0,0,0,0,0,0,0,0,0,45.62,0,0,0,5.64,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.07,20.92,0,0,9.05,0,0,12.49,0,0,0,0,0,0
 14-21,0,0,0,4.39,1.23,0,0,0,0,0,0,0,1.81,0,0,0,0,2.24,0,1.89,59.41,0,0.89,0,0,0,4.22,0,1.99,23.79,0,2.74,0,0
 24-34,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,6.49,0,0,242.91,0,2.76,0,0,0,0,0.6,0,43.4,0,20.73,0,0
 36-46,0,0,0,0,0,0,22.97,0,0,0,3.04,0,0,0,0,0,0,0,0,0,601.4,0,1.13,0,0,0,0,0,0,107.07,0,1.93,0,0
 48-58,0,0,0,7.08,0,0,82.18,0.86,0,0,7.58,0,0,0,0,0.4,0,5.7,0,1.01,556.85,0,2.78,0,0,1.14,0,0,0,75.82,0,0.41,0,0
 60-70,0,0,0,3.21,0,0,280.3,0,0.79,0,3.66,0,0,0,0,0,1.41,0,0,0,536.58,0,8.3,0,0,4.14,0,0,0,79.56,0,9.06,0,0
 72-82,0,0,0,0,0,0,211.02,0,0,0,4.97,0,0,0,0,0,0,7.43,1.74,1.93,313,0,0.77,0,0,4.6,0,0,0,36.09,0,0,0,0
 84-94,0,0,0.81,0.83,0,0,121.92,0,0,0,7.56,0,0,0,0,0,0,1.39,0.76,0.91,254.55,0,0,6.49,0,5.01,0,0,0,13.47,0,2.2,0.66,0
 96-106,0,0,0,3.27,2.25,1.06,117.42,0,0.88,0,3.78,1.17,0,0.65,0.77,0.65,0,5.02,0,1.39,162.3,0,0,0.98,0,6.91,0,0,0,8.11,0.67,3.68,0,0
108-118,0,0,0,12.78,0,3.87,93.91,1.3,0.48,0.43,5.28,1.33,0,0,0.51,0,0,2.56,0.87,0.92,217.99,0,0,0.62,0,3.78,0,0,0,4.66,0,0,0,0.49
120,0,0,0,7.13,0,5.12,117.3,0,0,0,6.06,0,0,0,16.34,2.98,0,12.64,0,0,242.26,0,11.74,0,0,3.68,0,0,0,0,0,0,0,0
