stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,13.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.86,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.88,0,0,0,4.92,0,0,8.5,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.33,15.12,12,2.87,0,0,0,6.78,0.82,0,18.4,0,0.82,0,0,0,2.14,0,0,4.73,23.73,0,0,1.93,0,0,0,0,1.42,25.55,11.67,1.25,44.75,0,0,4.7,0,1.35
 24-34,0,0,0.75,0,3.88,29.08,5.09,2.98,2.47,1.42,23.37,0.73,0,7.4,0,0,0,0,0,12.25,0,1.63,15.06,76.35,0,9.77,2.53,0,0,0,0,0,20.29,22.94,9.2,41.5,0,0,37.52,0,0
 36-46,0,0,0.85,0,3.88,23.81,2.41,34.29,0,0,27.25,0,0,8.41,0,0,3.71,0,0,22.06,0,1.13,11.09,88.11,3.11,1.23,1.67,0,0,0,0,6.89,16.55,25.09,2.65,61.21,0,0,14.58,0,0
 48-58,0,0,0,0,13.96,65.92,8.54,35.98,5.12,1.32,37.09,0,0,7.97,0,0,1.77,0,0,38.03,0,0,8.34,97.93,1.66,1.14,7.67,0,0,0,0,0,2.4,12.03,0,41.24,0,2.02,14.48,0,1.09
 60-70,0,0,0,0,7.86,40.68,18.01,19.96,1.1,0,40.63,0.85,2,14.86,0,0,1.38,0,0,118.21,0,7.56,1.39,102.35,3.16,3.4,6.71,0,0,0,0,0,0,5.15,0,56.62,0,11.39,17.29,0,0
 72-82,0,0,2.93,0,4.37,203.96,36.85,7.93,0,0.78,120.14,5.11,0,28.75,0,2.33,0.93,1.34,0,386.14,0.75,18.33,11.55,86.3,0,2.26,6.11,0,1.53,1.03,0,0,1.02,3.42,0,50.49,5.19,4.6,46.19,3.06,0
 84-94,0,0,6.28,0,15.26,229.57,45.15,24.84,1.36,0,123.49,4.23,0,17.55,0.67,1.52,0.96,5.45,0,277.2,0,6.87,12.76,114.89,3.17,5.88,15.59,0,4.76,0,1.4,0,4.14,4.59,0,30.78,1.81,2.77,55.29,5.03,1.97
 96-106,0,0,3.61,0,16.67,435.17,22.76,28.63,0,5.42,150.17,18.62,0,32.3,2.03,0.56,0,5.59,3.93,357.75,1.15,12.12,9.96,81.33,3.12,9.91,23.29,0,1.44,7.99,0,0,4.46,8.65,0,45.45,17.74,33,104.43,7.21,6.49
108-118,0,0,5.86,0,21.88,282.51,38.25,16.46,3.03,1.11,126.83,20.62,0,22.62,1.41,1.81,0,3.94,0,466.63,7.78,20.71,6.21,125.62,10.28,5.71,27.1,0,27.87,0.6,0,0,1.82,9.85,0,30.43,31.11,56.72,114.48,7.1,0
120,0,0,1.37,0,27.6,300.38,38.11,18.66,1.49,0,127.54,7.06,0,2,0,0,7.14,4.83,3.71,332.1,1.56,10.29,3.51,99.17,12.96,2.43,17.39,0,0,0,0,0,0,0,0,51.85,30.94,27.34,44.37,2.54,0
