stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,647.58,13645.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541.93,0,0,0,0,0,0,0,0,0,0
  5-6,698.48,10858.65,0,8.02,0,0,0,0,0,0,0,0,92.62,0,0,0,0,0,0,0,0,0,0,0,397.84,36.78,0,0,85.84,124.72,0,0,0,0,0,0,0,0,0,0
  7-9,113.12,148.76,0,223.91,0,5.98,598.78,0,0,0,0,0,269.65,0,0,0,0,0,0,0,0,0,0,0,4847.53,95.49,0,0,1273.41,4.34,63.19,0,0,0,0,0,0,0,0,0
 10-12,9.78,117.25,0,182.7,0,19.33,466.22,0,0,0,0,0,23.16,0,0,0,0,0,0,0,0,0,0,0,3607.34,42.41,0,0,914.6,0,0,0,134.79,5.05,3.51,0,0,0,0,0
 14-21,0,0,0,3.78,44.68,32.52,45.08,0,0,0,8.64,2.6,0,0,0,2.58,0,0,0,0,26.71,0,0,27.44,774.76,18.75,5.73,2.85,11.32,13.61,0,35.51,6.7,30.96,177.5,0,0,3.49,0,0
 24-34,0,0,0,0.71,5.39,5.11,106.81,0,0,0,19.1,0,2.27,2.52,0,1.49,0.97,0,0,0,46.62,0.74,1.63,10.56,824.89,0,4.91,9.3,0,20.9,0,0,0.7,3.33,152.96,0,0,8.83,0,0
 36-46,0,0,0,0.59,3.22,8.33,194.68,0,0,0,16.97,0,0,0,0.6,1.15,0.65,0,0,0,40.53,0,0.8,7.25,590.72,0.59,2.17,1.19,0,20.67,0,0,0,0,104.74,0,0,2.94,0,8.06
 48-58,0,0,0,0,5.78,0.9,235.75,0,0.39,0.46,21.42,2.17,0,0,1.87,0,0,2.52,0.55,0,47.46,0.42,2.82,11.2,275.61,5.85,0.39,2.09,0,7.21,0,0,0,0,54.76,0,0,7.06,0,5.36
 60-70,0,0,0,0,9.68,1.36,172.74,0,0,0,35.5,3.26,0,0,0.69,0,0,0,0,9.95,28.06,0,0,6.92,225.27,1.17,0,8.57,0,13.39,0,0,0,0,22.51,0,0,4.92,1.79,0
 72-82,0,0,0,0,3.04,0,65.14,0,0,5.74,27.27,0.76,0,0.6,4.43,0.93,0.72,0,0.78,0,38.1,0,0.72,10.77,134.11,1.67,2.66,0,0,3.63,0,0,0.64,0,3.23,0,0,9.08,1.25,10.12
 84-94,0,0,0,1,5.63,3.5,113.3,0,0,0,29.23,2.28,0,0,2.98,0.56,0,1.48,0,0,25.9,0,7.06,4.37,165.05,0,2.53,0.74,0,17.76,0,0,0,0,9.85,0.83,0,1.82,0.91,0
 96-106,0,0,0.99,0,9.01,0,56,6.3,0.59,0,25.2,6.9,0,0,1.63,1.68,2.18,0,0.73,0,33.83,0,0.93,3,140.22,1.9,0.59,1.07,0,7.69,0,0,2.48,0,3.16,1.68,2.7,3.91,0.81,0
108-118,0,0,0,0.74,11.2,2.48,51.19,0,0.51,0.9,24.71,1.3,0,0,9.07,0,2.95,0,4.36,0,26.66,0,3.32,3.44,144.67,0.8,0.45,0.43,0,8.39,0,0,0.75,0,2.77,0,0,12.61,0,0
120,0,0,0,0,14.39,1.65,48.45,0,1.12,0,47.46,0,0,0,4.84,0,0,1.84,0,0,17.95,0,0,1.9,208.18,0,0,10.48,0,8.08,0,0,0,0,10.07,0,0,23.03,0,1.64
