stage,blastomeres,eye,fin.mesenchyme,glial,heart,immune,mesenchyme,neural,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,25.43,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.91,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.84,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.88,0,0,0,1.03,0,0
 24-34,0,0.62,0,0,1.47,0,0.76,12.79,0,0,0.84,0,0
 36-46,0,0.84,0,0.69,0,0,0,1.91,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.15,0.54,0.59,0.48,0,0.51,0
 60-70,0,0,0,1.82,0,0,8.65,8.95,0,0,0,0,0
 72-82,0,2.25,0,1.36,0,0,1.36,0,0,0,0,0.9,0.94
 84-94,0,0,0,0,0,0,0.91,0,0,0,0,0,1.09
 96-106,0,0.99,0,0,0,0,0.62,0.76,0,0,0,0,0
108-118,0,0,0,0,0,0.63,1.12,0,0,0,0,0,0.82
120,0,0,1.67,0,0,0,0,0,0,0,0,0,0
