stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,62.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,0,0,0,0,0,0,0,0,0
 14-21,0,9.24,1.04,0,0,0,0,0,0,0,0,0,0,0,1.16,0,1.09,3.25,0,0,0,2.15,1.03,2.07,0,0,0
 24-34,0,6.09,0,1.75,0,6.56,0,0,0,0,0,0,0,0,1.35,0,0.69,11.23,0,0,0,0,0,1.71,0,0,0
 36-46,0,11.41,0,1.77,0,7.71,0,0,0,0,0,0,0,0,0,0,0,19.25,0,0,1.13,0,0,1.49,0,0,0
 48-58,0,1.6,0,5.47,0,6.89,0,0,0,0,0,0,0,0,4.25,0,0,12.59,0.44,0,2.65,0,0,3.03,0.56,0,0
 60-70,0,5.85,0,18.65,0,30.53,0,0,0,0,0,0,0,0,1.54,0,0,49.15,0,2.49,4.35,0,0,4.49,0,0,3.78
 72-82,0,7.08,6.4,21,0,15.88,4.22,0,0,0,0,0,0,0,1.8,1.05,2.12,74.66,0,0.84,1.21,0,0,7.1,0,0.56,0
 84-94,0,22.1,0,10.4,0,36.79,0,0.96,0,0,0.82,0.62,1.76,0,3.82,0,0,17.36,0,1.23,7.66,0,0,0,0,0,0
 96-106,0,24.04,0,2.91,0.94,44.35,4.72,0.7,0,0.68,0,0,0,0,7.8,1.15,0,67.43,0.81,0,16.57,0,0,12.49,0,0,0
108-118,0,37.7,0,4.91,0,78.5,1.66,0,0,0,0,0,2.11,1.13,17.91,0,0,44.83,0,0,7.39,0,0,7.51,0,0,0
120,0,13.04,0,16.23,0,36.08,7.38,1.99,4.26,3.38,0,0,0,0,2.19,1.12,0,42.02,0,0,26.93,0,0,0,0,0,0
