stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,156.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.57,0,0,0,0,0,0,0,0,0,0,0
  5-6,113.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.74,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.85,0,0,2.09,0,0,0,1.05,0.82,0,0.92,0,0.96,0,0,0,0,2.04,0,0,2.12,18.76,5.52,0,0.94,0.97,0,0,1.16,0.85,10.61,1.25,3.24,7.2,0,0,0,0,0
 24-34,0,0,5.13,0,0,0,0,0,0.78,1.94,0.73,0,0,0,0.62,0,0.68,0,0,2.2,0,0,0.61,127.54,1.07,1.31,0,0,0,9.77,0,0,7.84,3.5,0.66,29.59,0,0,5.48,0,7.75
 36-46,0,0,0,6.7,0,11.42,2.22,0,0.57,8.37,0,0,1.77,0,0,0,0,0,0,9.22,0,0,0.75,177.53,15.34,1.55,12.71,0,0,39.24,0.81,0,3.46,2.28,0,47.16,0,0,3.35,0,0
 48-58,0,0,4.23,0,0,40.71,0.9,0,0,3.84,6.05,3.16,0,0,0,0,0.69,0,1.55,15.88,0,0,0.54,211.79,0,0,5.01,0,0,30.11,0,0,5.55,5.92,0,49.29,0,0,0,0,5.51
 60-70,0,0,10.43,1.37,0,113.01,0,0,0,12.81,0,0,5.1,1.75,0,1.14,0,0,1.11,22.61,2.4,0.7,2.02,245.28,1.36,0.73,0,0,0,22.31,0,0,0.63,2.3,0,48.24,0,0,1.72,0,0.77
 72-82,0,0,6.43,61.14,0,130.97,0.58,0,0,34.81,0,0.52,0.58,0.52,0.61,1.29,1.15,0,0,26.59,0,0,5.01,276.27,0,0,0.56,0,0,20.9,0,0,1.74,3.45,0,34.35,0,0,8.01,0.52,3.13
 84-94,0,0,12.38,7.42,0,92.9,2.25,6.73,0.94,17.36,0.94,0,3.42,0.77,2.03,2.59,0,0,12.3,47.84,0,0,1.52,190.84,1.25,0,2.41,0,0,52.76,0,0,4.81,0.81,0,27.59,4.78,2.31,6.21,1.41,1.05
 96-106,0,0,16.51,49.61,0,111.36,0.57,2.64,2.3,37.61,0,0,0,2.72,7.53,2.11,3.02,1.8,0.75,42.54,4.1,0.93,2.75,180.38,0,6.84,4.92,0,3.21,58.69,0,0,0.67,1.48,0,6.71,2.27,2.2,7.47,0.68,2.89
108-118,0,0.74,17.4,18.35,6.92,145.63,2,2.46,0,23.86,5.45,0,0,2.67,1.79,7.89,0,3.52,1.05,36.08,0,0.63,1.18,227.5,0.85,0.42,6.24,0,2.11,60.8,0,0,4.42,1.42,0,11.32,0.5,2.57,10.94,0.44,3.78
120,0,0,13.14,6.63,0,179.35,1.54,9.34,5.31,66.52,3.46,0,0,1.43,7.12,18.54,0,0,1.54,84.07,0,17.2,0,612.49,0,4.19,18.44,0,0,32.16,0,0,1.21,2.42,0,13.2,0,0,7.36,0,2.27
