stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,65.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.91,60.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.37,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.18,0,5.13,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,5.39,0,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0.91,4.59,0,0,3.48,1.17,41.83,1.68,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0.81,0,0,11.91,0,0,0,0,64.97,1.55,0,0,0,0
 36-46,0,0,0,0,0,0,0,2.29,0,0,0,0.72,0,0,0,0,0,0,0,0,0,8.3,0,0,4.92,0,41.11,0,0,0,0,0
 48-58,0,0,0,0,1.3,0,0,8.16,0,0,0.5,1.05,0,0,0,0,0,0,0,0,0.8,5.89,0,0,9.18,0,11.8,0,0,0,0.71,0
 60-70,0,0,0,0,6.39,0,0,9.3,0.62,0,3.17,1.42,0,0,0.88,0,0.71,4.39,7.75,0,0,14.28,0,0,26.3,0,23.64,2.11,0,0,0,0
 72-82,0,0,0,0,27.11,0,0,14.58,0,0,8.69,9.42,0,0,2.34,0.57,0,3.08,10.07,0,0,28.62,0,0,53.15,0,15.93,3.01,0,0,0,0.7
 84-94,0,0,0,0,49.56,0,0,27.26,0,3.38,1.4,16.37,1.52,0.55,8.54,0,0,0,9.46,0.76,0,10.37,0.63,0,263.76,0,42.88,0,0,2.66,0,0
 96-106,0,0,0.6,0,118.47,17.89,1.05,37.43,0,2.75,13.24,14.81,6.11,0.58,13.65,0,0.77,9.08,23.54,3.3,0,52.79,0,0,463.51,0,17.7,0,0,5.64,5.43,0.91
108-118,0,0,0,0,116.29,0,5.71,15.79,0.51,5.39,2.75,22.91,0,0,34.9,0.74,0,0,19.59,3.93,0,19.51,0,0,701.36,0,21.99,0,2.49,0,2.86,0
120,0,0,0,0,62.1,0,5.83,14.81,0,10.45,13.12,32.31,0,0,12.45,0,1.12,0,82.61,5.82,0,19.55,0,0,448.92,0,20.82,0,0,0,4.26,0
