stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,63.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,9.42,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,5.05,0,0.95,0,0,2.47,4.76,1.33,0,0,0,0
 24-34,0,0,4.62,0.91,0,0,0,1.66,0,0,0,0,0,5.92,2.37,0,0,0,13.51,0,0.63,0,0,0,0,2.5,0,4.39,0,0
 36-46,0,0,3.56,0,0,2.42,0,0,0,0,0,0,0,0.71,8.54,0,0,0.64,22.02,0.81,0,0,0,0,0,9.14,1.23,2.38,0,0
 48-58,0,0,3.6,0,0,197.75,0.49,0,0.85,0,0,0,0,3.51,8.78,0,0,0,25.45,0,0,0,0.44,0,0,1.22,0,0.81,0,0
 60-70,0,0,1.75,0,0,2357.48,9.53,0,1.72,0,0,0,0,1.2,6.71,0,0,3.42,64.72,0,0,1.19,10.43,0,0,6.75,0,2.17,0,0
 72-82,0,0.93,10.26,0,0,2443.48,0,1.88,30.46,1.21,0,0.49,0,2.71,11.84,1.31,0.75,0,114.56,0,0,0,0,0,0,2.36,0,0,0,0
 84-94,0,0,4.84,0,0,1163.81,1.77,1.13,11.61,0,0.85,0,0,4.47,12.77,0,0.8,3.28,66.7,0,1.14,3.25,1.34,0,0,0,0,5.09,0,0
 96-106,0,0,5.02,0,1.05,1080.26,2.85,0,8.53,0,0,0,0,6.17,10.59,0,2.81,0,38.27,0,0,0,4.44,0,0,3.8,2.04,1.8,0.8,0
108-118,0,0,2.46,0,0,777.37,0.65,0,13.13,0,0,0,1.54,16.57,13.26,0,0,0,56.99,0,6.8,1.35,0,0,0,4.45,3.9,4.75,0.49,0
120,0,0,4.75,0,0,378.93,0,0,2.63,1.68,0,0,0,3.25,19.33,0,0,0,123.44,0,0,0,0,0,0,0,3.38,5.84,0,10.98
