stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,hatching.gland,immune,ionocyte,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,215.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.58,5.34,0,0,0,0,0,21.78,0,3.57,0,0,0,163.47,0,0,33.11,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,28.41,0,0,22.38,0,0,3.81,0,0,0
 14-21,0,0,0,1.03,0,0,0,0,0,0,0,0,4.52,5.8,0,0,0,2.59,0.84,0,3.06,2.38,0
 24-34,0,0,0.62,0,0,0,0,1.47,0,0,0,0,0,9.24,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0.91,0,0,6.5,0,0,0,0,1.19,4.21,0,0,0,0,0,0,0,3.1,0
 48-58,0,0,0,0,0,0,0,1.75,0,0,0,0,0.43,4.41,0,0.53,0,1.87,0,0,0,0.65,0
 60-70,0,0,0,0,0,0,0,3.85,0,0,0,0,0,10.27,0,0,0,0,0,0,0,0,0.58
 72-82,0,0,0,0,0.56,0.95,0,5.55,0,0,0,0,0.94,6.25,0,0,0,0.6,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.17,0,0,0,0.98,0,0,1.63,0,3.58,0,1.78,0,0,0,0,0
 96-106,0,0,0,0,0.77,0,0,1.49,3.63,0,0,0,1.72,5.26,0,0.78,0,7.05,0,0,0,0,0
108-118,0,0,0,0,0.52,0,0,4.88,0,0,0.84,1.03,0.98,1.08,0.61,0.56,0,1.46,0,0,0,0,0.44
120,0,0,0,0,3.74,0,0,0,0,0,0,0,13.88,0,0,0,0,4.66,0,0,0,0,4.18
