stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,36.88,152.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,186.23,218,0,0,0,0,0,0,0,0,0,0,39.19,0,0,0,0,0,0,0,0,0,0,0,104.11,0,0,0,0,0,43.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,146,30.52,432.87,0,0,0,79.87,0,0,0,0,0,232.83,0,0,0,0,0,0,0,0,0,0,0,891.62,63.18,0,0,83.11,0,0,14.57,0,13.28,0,0,0,0,0,0,0,0
 10-12,0,101.09,305.64,0,46.68,0,251.08,0,0,0,0,0,5.94,0,0,0,0,0,0,0,0,0,0,7.75,4419.58,82.99,0,0,433.03,0,21.63,5.55,0,15,0,5.3,14.61,0,0,0,0,0
 14-21,0,0,16.21,1523.42,17.28,0,17.26,0,1.46,0,15.03,13.32,0,54.06,0,15.49,0,2.25,0,0,350.82,1.8,0,212.37,280.66,38.49,0,2.15,2.01,0,17.22,0,27.59,4.01,3.56,290.32,211.04,0,0,3.05,0,0
 24-34,0,0,0.82,114.59,0.6,0,23.16,4.17,13.6,1.46,58.87,1.16,0,43.47,0,0.74,0,11.49,1.56,0,118,0,5.97,57.72,215.9,3.71,0,2.81,0,8.17,0,0,0,6.91,2.64,42.92,144.26,0,0,5.97,0,0.85
 36-46,0,0,0,25.65,1.61,0,16.55,12.28,12.58,1.35,61.8,1.22,0,53.38,0,0,0.57,1.69,7.55,2.45,171.42,0,27.69,19.87,226.64,0,2.05,0,0,5.63,6.76,0,0,2.91,18.38,1.32,73.5,0,0,13.13,0,1.43
 48-58,0,0,0,5.46,1.79,0,32.58,8.09,22.93,3.05,73.25,0,0,44.75,0,0,2.94,2.01,2.07,0,183.21,0.6,39.71,27.16,190.44,0,0.47,5.92,0,7.5,2.51,0,0,1.07,4.43,0,101.51,0,2.91,2.41,0,5.55
 60-70,0,0,0,17.78,0,0,54.41,22.6,8.57,0,105.81,1.64,0,36.67,0,0,10.56,4.8,3.22,0,273.19,0,71.05,28.02,198.87,1.01,3.72,4.2,0,7.33,4.28,0,0,2.36,2.09,0,49,0,17.35,2.55,19.91,0
 72-82,0,0,0,7.14,4.33,0,52.34,14.75,4.33,2.99,168.34,2.69,0,57.62,0.71,0.53,9.88,6,1.54,1.18,387.5,0,51.48,8.58,172.18,0,1.59,10.66,0,3.9,3.06,0,0,0,2.35,0,56.27,0.77,14.65,12.39,22.98,0
 84-94,0,0,0,26.05,0,0,49.93,30.06,23.67,0,138.16,1.94,0,39.34,0.56,2.05,16.92,2.18,2.3,3.64,311.7,0,70.93,8.32,79.92,0,0,6.19,0,1.65,8.59,0,0,3.87,4.13,0,55.51,1.37,8.22,4.02,30.88,0
 96-106,0,0,1.15,42.54,2.23,1.23,62.04,50.19,7.93,0,149.15,0.97,0,34.84,0,0.81,28.1,0,1.81,0,285.63,0,104.16,14.92,133.58,0.96,1.94,6.9,0,15.53,4.04,0,0,5.56,3.71,0,97.81,0,10.77,14.61,40.55,0
108-118,0,0,1.03,55.05,1.35,0.7,43.16,46.65,17.04,1.02,138.28,6.31,0,24.49,0,0.55,122.06,5.54,3.07,0.59,336.39,0,132.63,20.48,127.94,5.08,0.42,16.74,0,9.91,1.52,0,0,2.41,4.13,0,49.44,0.84,7.53,7.76,40.88,0
120,0,0,0,32.97,1.46,0,32.56,42.85,6.98,0,217.41,1.88,0,23.92,0,0,37.99,0,0,1.79,243.07,0,46.64,6.71,118.3,0,0,8.9,0,4.22,0,0,0,0,3.12,0,44.81,0,5.65,1.62,93.82,1.1
