stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,0,226.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.78,0,0,0,0,0
  5-6,6.35,67.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.87,0,0,0,0,0,0,0,0,0,0,54.03,0,0,14.79,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,28.05,0,0,0,0,0,0,0,0,0,0,79.85,0,0,38.65,0,0,3.49,0,0,0
 14-21,0,0,0,0,1.93,2.87,2.91,0,0,0,0,0,0,0,0,0,0,26.43,0,0.81,0,1.52,4.27,0,10.79,0,0
 24-34,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,3.18,0.59,17.95,0,0,0,0,0,0.98,3.55,0,0
 36-46,0,0,0,0,0,0,2.5,0,0,1.89,0,0,0,0.61,0,0,0,11.58,2.12,0,0,0,0,0,3.23,0,0
 48-58,0,0,0,0,0,0,2.11,0,0,0.65,0,0,5.18,0,0,1.09,0,21.4,0,0,0,0.39,0,0,2.63,0,0
 60-70,0,0,0,0,0,0,0,0,0,8.26,2.13,0.58,0,0,7.55,0,0,0.75,0.88,0,0,0,0,0,0.57,0,6.67
 72-82,0,0,0.68,0,0,0,1.17,0,0,0.49,0.66,0,0,0,0,0,0,4.8,2.46,1.12,0,0,0,0,0,0,3.15
 84-94,0,0,0,0,1.72,0,1.53,0.6,0,1.55,0,0,0,0,0,0,0,16.79,2.07,1.31,0,1.91,0,0,0,3.13,0
 96-106,0,0,0,0,0,0,1.48,0,0.89,0.59,1.5,0,0,0,0,0,0,13.3,4.08,0.65,0,0.79,0,0,2.07,0,0
108-118,0,0,0,0.49,0.44,0,0.43,0,0,3.27,0.45,0,0,1.47,0,1.05,0,17.15,0.94,1.34,0,0,0,0,1.33,0,0
120,0,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,1.8,23.05,0,0,0,0,0,0,0,0,0
