stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pgc,spinal_cord,taste,vasculature
  3-4,0,215.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.72,115.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.63,0,0,0,0,5.62,0,0,0
 14-21,0,0,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.62,0,0,0,0
 24-34,0,0,0,7.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.22,0,0,0,79.6,0,0,0,0
 36-46,0,0,0,10.06,0,5.66,0,0,0,0,0,12.16,0,0,0,0,3.82,0,30.9,0,0,0,122.56,0,0,0,0
 48-58,0,0,0,43.85,2.53,3.84,1.48,2.93,0,0,0.69,7.23,0,0.77,0,0.96,11.08,0,50.5,0,1.25,0.4,107.72,0,0.61,0,0
 60-70,0,0,0,50.62,1.85,9.24,0,0.57,0.63,0,0,1.4,0,0,0,0,13,0,35.45,0,0,0,110.19,0,0,0,0
 72-82,0,0,0,22.98,4.58,3.45,0,0,0,0,0,1.72,0,0,0,0,11.07,0,19.36,0.52,1.83,0,125.78,0,0,0,0
 84-94,0,0,0,59.99,0.68,20.36,0,0,1.01,0,0,4.37,0,6.84,0,1.91,25.37,0,12.01,1.49,2.26,0,399.29,0,0,0,0
 96-106,0,0,0,27.37,7.66,11.4,0,2.29,2.55,0,0.58,4.49,0.74,0.84,0,0.57,11.82,0.7,23.83,0,0,0.65,240.11,0,5.65,0,0
108-118,0,0,1.39,75.33,2.22,34.23,0,0,1.63,0,0,0,0,2.95,0.55,4.73,14.51,0,35.16,0,0,0,238.2,0,0,0.99,0
120,0,0,0,80.7,0,35.01,0,0,1.38,0,0,3.26,0,0,0,2.08,5.26,0,29.66,0,0,0,129.57,0,0,6,5.26
