stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,28.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.34,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,15.36,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,51.71,0,182.28,0,0.86,0,2.26,3.82,0,0,0,0
 24-34,0,0,3.17,1.12,0.91,0,0.68,0,0,0,0,0,4.41,0,0.75,51.87,0,478.05,0,0,0,0.62,29.18,0,0,2.66,3
 36-46,0,0,3.21,0.65,0,0,0.87,0,1.3,0,0,0,2.61,0.88,0.55,69.66,0.59,226.48,0,0,4.92,0,3.5,0,0,1.38,0
 48-58,0,0,3.37,5.32,0,0.39,0,0,0,0,0,0,3.57,0,0,47.56,0,110.6,0,0,0,0,3.37,0,0,0,0
 60-70,0,0,0,21.62,0,0,22.69,0,0,0,0,1.7,0.64,0,0,57.87,0,59.84,0,0,2.9,0,8.43,0,0,0,0
 72-82,0,0,0,3.2,0,1.01,2.36,0,0,0,1.18,0,1.28,0,0,43.83,0,113.06,1.33,0,1.16,0,3.96,2.75,0,0.62,0.67
 84-94,0,0,0.61,22.27,0,0,2.56,0,0,1.04,0,0,9.23,3.04,0,19.61,0,77.14,0,0,0.79,0,11.41,0,0.58,0,0
 96-106,0,0,0.6,20.3,0,6.62,0,0.72,0,0,0,0,8.32,1.3,0,22.05,0,106.19,0.92,0,0,0,1.18,0,0,1.85,0
108-118,0,1.21,0,29.06,0,0,11.59,0,0,0,0,0,6.73,0,0,21.99,0,87.57,0,0,0,0,7.83,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,6.33,0,0,0,0,69.68,0,81.87,0,0,0,0,0,0,0,0,0
