stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,22.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,24.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.47,5.46,0,0,43.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.94,0,0,0,0,13.96,0,0,0,0,0,0,0,0,15.96,5.98,1.37,1.28,2.33,0,9.43,0,0.96,10.06,4.78,0,0,0,0
 24-34,0,0,1.56,5.4,0.71,0,0,0,53.98,0,0,0,0,1.22,0,0,1.57,52.9,0,1.63,0,0,1.62,0,0,0,0,10.58,0,0,4.87,0
 36-46,0,0,0,0,7.92,0,2.1,0,33.38,0,0,0,0,1.42,0,0,0,79.89,0,0.83,0,0,6.93,0,0.58,0,0,12.45,0,0,3.23,0
 48-58,0,0,0,0,16.18,0,5.27,0,47.07,0,0,0,2.47,6.16,0,0,0,54.89,1.03,1.64,0,0,8.92,0,0,0,0,7.44,0,0,7.95,6.16
 60-70,0,0,0,0,16.58,0,2.4,0,49.25,0,0,0,0,2.46,0,0.62,0.99,30.04,0,0,0,0,14.52,0,0,0,0,5.17,0,0,6.67,0
 72-82,0,0,0,0,15.44,0.54,6.57,0,78.93,0,0.79,0,0,7.87,0.58,0,0,57.76,0,0,0,0,7.92,0,0,0,0,1.72,0,0.85,12.28,0
 84-94,0,0,2.22,0.71,29.04,0,0.67,0,103.57,0.79,0,0.83,1.55,3.27,0,0,0,19.13,1.53,0,0,0,4.3,0,0,0,0,0.98,2.5,1.74,12.59,0
 96-106,0,0,0.9,0,26.07,1.21,3.59,0,127.55,0.71,0.79,11.49,0,6.2,0,0,0,32.26,0,2.86,1.01,0,14.16,0,0,0,0,2.07,0,0,11.86,0
108-118,0,0,4.98,0,18.02,0,6.33,0,127,1.69,0,0,0,2.38,0.53,0,0.52,25.46,0,2.07,0,0,10.15,0,0,0,0,7.45,0,0,7.76,0
120,0,0,0,0,14.41,0,18.25,0,149.86,0,0,0,0,6.27,0,13.09,0,61.63,0,0,0,0,1.18,0,0,0,0,0,0,0,17.96,0
