stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,60.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.14,0,11.67,0,0,0,37.07,0,0,0,0,0,0,0,0,0,0,0,0,106.26,0,0,0,22.47,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.06,3.15,0,0,18.5,0,0,0,0,0,0,0,0,0
 14-21,0,1.24,0.9,3.98,1.97,0,3.65,0,0,0.82,0,0,0,0,7.54,0,2.15,0,0,38.79,2.88,0,0,0.9,0,5.07,0.87,4.04,4.6,0,0,0,0
 24-34,0,0,0.79,2.4,0,0,216.06,0,0,0.95,0,0,2.96,0.64,0,3.58,8.6,0,4.31,73.6,0,0,0.86,0,4.23,0,0,2.97,25.28,0,0.91,0,0
 36-46,0,0,0,0.61,0,0,317.28,0,0,0,0,0,0,0,0,0,7.68,0,1.92,75.7,1.03,0,0,0,9.77,0,0,0,18.2,0,0.9,0,0
 48-58,0,0,0,0.42,0,0,194.92,0.4,0,0,0,0.57,0,0,0,0,6.81,1.08,0,32.63,0,0,0,0,0.43,0,0,0,7.53,0,0,0,9.4
 60-70,0,0,0,0,0,0,279.97,0,0,0,0,0,0,0,0,0,1.65,0,0,21.55,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,6.68,0,0,174.09,0,1.26,2.75,0,0,0,0,0,0,13.1,0,0.82,22.7,0,0,0,0,1.69,0,0,0,3.13,0,0,0,0
 84-94,0,0,0,0,0.57,0,211.67,0,0,0,0,0,0,0,0,0,4.05,0,0,11.81,1.14,2.63,0,0,0.69,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.15,0.76,74.23,0,0,0,0,0,0.75,0,0,0,10.22,3.69,0.93,5.31,0,0,0,0,0,0,0,0,0,0,0,1.16,0
108-118,0,0,0,0,0,0,217.06,0,0,0,0.67,0,0,0.94,0,0.5,13.13,0,0.87,9.51,0,0,0,0,0,0,0,0,0,1.31,0.73,0,0
120,0,0,0,0,7.78,0,194.55,0,0,5.01,0,0,0,0,0,0,9.4,0,0,34.4,0,0,0,0,0,0,0,0,0,0,2.71,0,0
