stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,18.01,152.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,140.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.17,0,0,0,0,0,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,17.7,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.82,0,12.59,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.27,0,0,0,16.98,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.45,9.83,8.83,0,0.82,0,0,0,0,0,1.45,0,0.81,0,0,0,0,27.42,0,0,1.16,41.17,53.77,0,0.84,3.22,0,10.17,1.23,0,0,10.96,6.4,0,0,0,0,0
 24-34,0,0,0,0,4.36,0.6,0,7.51,0,0.89,0,105.31,0,1.92,0,2.68,0,0,0.9,0,14.14,0.86,0,2.01,659.16,24.95,0,0.69,0,0,11.64,0,0,0,0,10.52,0,0,0.6,0,0
 36-46,0,0,0,0,1.49,1.37,0,17.17,0,0,0,299.45,0,0.63,0,0,0,0,0,0,4.45,0,0,0,1690.75,10.65,0.78,1.64,0,0,16.42,0,0,0,0,55.79,0,0,4.46,0,0
 48-58,0,0,0,0,30.9,0,0,191.25,0.53,0,0,1082.29,5.51,6.84,0,0,0.38,1.59,0.86,0.39,14,2.84,2.18,2.68,4125.4,7.27,0,12.95,0,0,7.88,0,0,0,0,293.03,0,0.37,4.37,0,1.98
 60-70,0,0,0,0,19.93,1.42,0,289.53,0.69,0,1.48,1842.19,0.82,6.3,0.64,0,0,0,0,0,71.34,0,7.5,4.82,7191.58,24.5,0,15.14,0,0,32.42,0,0,0,0,166.82,0,0.9,16.92,0,16.91
 72-82,0,0,1.89,0,57.66,40.54,0.52,536.65,1.84,0.8,7.7,1314.79,2.25,3.58,8.47,4.11,0,2.83,14.64,0,299.41,5.73,6.01,12.09,7386.47,29.95,5.9,36.09,0,0,36.62,0,0,0,0,82.72,7.39,4.7,15.79,4.1,23.08
 84-94,0,0,0,0,87.52,32.62,1.06,630.93,1.06,1.43,2.51,877.6,4.69,9.07,15.9,5.57,3.55,0.73,3,1.76,356.47,4.56,12.15,2.27,4954.47,74.25,3.4,45.95,0,0,92.69,0,7.43,0.63,0,103.85,1.59,5.49,6.69,3.73,16.08
 96-106,0,0,1.78,0,78.15,56.28,3.47,498.34,2.68,16.72,4.27,862.27,1.92,4.82,8.08,0.83,4.07,3.27,0,0,254.56,7.23,6,4.71,4588.65,40.47,6.65,34.92,0,3.48,102.03,0,0.67,0.68,0,29.75,2.44,7.95,16.58,0.81,0
108-118,0,0,0,0.74,50.63,24.32,11.45,357.93,0,1.13,6.56,975.36,7.7,4,2.33,2.21,4.78,0,1.91,5.3,246.44,4.45,3.17,10.6,6348.16,57.62,5.4,39.63,0,7.96,46.67,0,3.65,0,0,31.25,8.77,8.81,23.34,8.39,0
120,0,0,0,0,93.95,9.64,5.77,739.98,1.33,7.08,16.69,1725.85,1.45,17.34,6.13,2.56,9.08,2.12,2.6,0,234.56,1.49,0,11.88,8754.8,121.66,1.09,43.26,0,3.68,42.9,0,0,0,0,30.83,0,1.52,51.2,9,0
