stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,2.76,0,0,0.85,0,0,0,0,0,2.95,0,2.57,0,0.95,6.43,0,1.02,0,0,1.01,0,0,0,0,0,0
 24-34,0,5.52,0,0,2.46,0,0,0,0,0,0.68,0,7,0,2.8,13.7,0,0.82,0,0,0,0,0.82,0,0,0,0
 36-46,0,3.4,0,0,2.02,0,0,1.93,2.72,0,1.07,0,8.64,0,1.44,15.45,0,0,0,0.66,0,0,0.78,0,0,0,0
 48-58,0,0.93,0,0,2.45,0.4,0,2.26,3.46,0,10.34,0,3.46,2.26,3.58,9.56,0.49,0,0,0,0,0,3.12,0,0,0.9,0
 60-70,0,0.67,0,0,6.37,1.61,0,4.4,5.06,0,0.68,0,10.7,0,1.69,2.41,0,0,0,0,0,0,0,0,0,0,0
 72-82,0.53,1.21,0,0,0,0,0,4.84,10.79,1.72,5.72,0,27,0,0,5.8,0,0.76,0,0,0,0,0.6,0,1.43,0,0.85
 84-94,0,1.33,2.32,0,2.38,0,0,1.08,23.18,0,0,2.16,20.76,0,3.08,22.63,0,0.89,1.49,1.28,0,0,0,0,0,0,1.57
 96-106,0,1.41,8.45,0.94,0,0,0,4.5,15.65,0,0,0,30.67,0.59,2.6,8.31,0,2.74,0,0,0,0,0.84,1.01,0,0,0.59
108-118,0,5.96,0,0,3.42,0.76,2.21,0,12.94,0,0,0,24.21,0.56,3.09,8.87,0,0,0,0,0,0.5,0,0,0,0,0
120,0,1.16,0,1.14,1.6,0,0,5.4,15.93,0,0,0,6.36,0,1.81,3.84,0,0,0,0,0,0,0,0,1.56,0,0
