stage,axial,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,16.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0,0,0
 10-12,0,0,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59,0,0,0,0,0
 14-21,0,0,1.33,0,0,0,0,0,0,6.38,0,0,0,0,0,0,0,2.27,0,0.84,0,0,0
 24-34,0,1.29,0,0,0,0,0,0,0,22.34,0,0,0,0,0,0,0.63,2.11,0,0,6.24,0,0
 36-46,0,2.37,0,0,0,0.98,0,0,0,13.13,0,0,0,0,0,0,0,1.42,0,0,1.15,0,0
 48-58,0,0,0,0.53,0,0,0,0,0,29.11,0,0,0,9,0.88,0,0,4.33,0,0,0,0,0
 60-70,0,0,0,0.56,0,1.88,1.31,0,0,36.9,0,0,0,1.3,5.27,0.69,0,1.59,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,46.81,0,3.32,0,0,4.47,0,0,13.83,0,0,0,0,0
 84-94,0,0,0,0,0,7.16,0,0.84,0,61.54,0,0,0,15.18,0,0,0,16.95,1.26,0,0,0,0
 96-106,0,0,0,0,0,5.21,0,2.56,0,143.15,0.98,0,0,5.65,2.83,0,0,7.33,0.69,0,0,2.11,0.61
108-118,0,0,0,1.98,1.17,0,0,1.08,3.6,106.93,0,0,0,2.78,8.18,0.51,0,10.14,0,0,5.05,0.55,0
120,0,0,0,0,0,0,0,0,0,124.93,0,0,1.74,0,0,0,0,10.33,0,0,0,3.36,0
