stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,24.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.47,27.15,0,0,0,0,0,0,0,0,0,0,20.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,18.08,0,0,4.01,0,0,0,0,0,19.45,0,0,0,0,0,0,0,0,0,0,13.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,26.69,0,4.67,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1207,3.72,0,0,20.66,0,0,10.74,7.73,0,0,0,0,0,0,0
 14-21,0,0,0,9.41,2858.29,2.8,0.97,0,2.41,0,3.39,0.9,0,5.13,0,31.91,0,2.08,1.65,80.81,5.88,0,78.49,82.89,0,0,4.03,0,0,15.4,5.76,2.26,0,7.11,7.22,0,0,0,0
 24-34,0.88,0,0,0,1227.95,1.22,14.07,0,118.03,0.99,1.8,0,2.87,9.98,0,0,1.2,13.25,0,110.14,11.67,7.21,60.69,131.5,0,0.7,0.63,0,0.99,6.07,1.69,0,0,1.23,17.21,0,1.69,0,0
 36-46,0,0,0,0,497.86,0,2.9,0,277.03,0,2.64,0,0,6.37,0,0,0,1.51,0,94.54,1.56,5.69,24.54,62.02,0,2.05,0.6,0,0.97,6.11,0,0,0,0,6.19,0.62,1.99,0,0
 48-58,0,0,0,0,329.43,0.92,17.26,0,358.75,1.47,8.23,0,0,3.4,0,0,0,0,0,47.35,1.39,22.44,6.38,55.61,0,0.44,0,0,0.53,3.44,0,0,0.39,0,10.73,0,0,0,0
 60-70,0,0,0,0,240.35,0,221.13,0,254.14,0,0,0,0,0.9,0,0,0,0,0,32.51,0,11.64,2.62,33.36,0,1.34,0,0,2.29,0,0,1.14,0,0,1.96,0.8,0,3.52,0
 72-82,0,0,0,0,97.38,1.33,1097.9,0,204.78,0.61,21.36,0,0,0,0,0,0,5.32,0,30.34,1.86,5.74,0,66.01,0,1.18,0,0,2.84,0,0,0,0,0,1,0.52,0.66,1.72,0
 84-94,0,0,0,0,165.17,0.82,1069.14,0,263.59,0.86,24.25,0.99,0,4.65,0,0,0,0,0,21.54,0.65,20.68,6.18,43.71,0,0,3.83,0,1.66,11.79,0,0,0,0,3.97,1.8,0,1.38,0
 96-106,0,0,1.36,0,95.98,5.1,2038.02,1.55,170.34,4.16,22.12,3.71,0,0,0.63,0,0,8.78,0,19.05,2.26,0,0.79,69.73,0,0,1.78,0,3.07,2.26,0,0,0,0,0,0,2.63,0,11.08
108-118,0,0,0,0,112.69,0,1564.12,0,208.45,7.18,21.34,2.22,0,0,0.82,0,0,0,0,28.5,1.2,7.07,0.52,72.28,0,1.22,0,0,13.06,3.55,0,2.96,0,0,5.28,1.41,4.23,2.32,0
120,0,0,0,0,55.52,0,806.4,0,119.17,6.64,47.66,0,0,0,0,0,0,0,0,21.37,0,9,3.46,46.78,0,0,1.1,0,0,1.81,0,0,0,0,0,0,0,0,0
