stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,0,68.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.76,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.01,6.63,8.3,0,0,12.43,0,0,0,0,0,0,0,0,0,0,145.86,7.91,0,0,79.68,0,6.94,0,0,0,0,0,0,0
 10-12,0,7.58,14.29,0,0,31.05,0,0,0,0,0,0,0,0,0,0,361.75,15.45,0,0,238.41,0,9.83,0,18.51,0,0,6.81,0,0
 14-21,0,0,0,18.69,2.72,11.98,0,0,3.35,1.88,0,0,0,9.47,0,12.05,151.05,0,0,0,1.02,0,0,35.25,1.19,7.8,25.39,313.52,0,0
 24-34,0,0,0,4.26,0,5.53,0,0,1.02,0,0,0,0,11.74,0,4.35,32.97,0,0,1.5,0,0,0,0,0,0,5.31,13.3,0,0
 36-46,0,0,0.58,0.68,0,1.6,0,0,0,0.83,0,0,0,7,0,1.81,21.59,0,0.95,0,0,5.98,0,0,0,0,0,7.41,0,0
 48-58,0,0,0,0,0,1.83,3,0,0,2.33,0.55,5.54,0,1.97,0,10.04,17.19,0,0,0.5,0,0,0,0,0,0,0,1.92,0,0
 60-70,0,0,0,0.58,0,1.19,0,0,0,0,0,0,0,0,0,4.84,11.36,0,2.3,0,0,0,0,0,0,0,0,0.74,0,2.96
 72-82,0,0,0,0.57,0,0.53,0,2.26,0.68,0,0,0,0,0.53,0,0,25.84,0,2.32,0,0,0,0,0,0,0.79,0,1.12,0,0.93
 84-94,0,0,0,1.04,0,0,0,0,0,0,0,0,0,3.55,0,1.51,20.11,0,0,0,0,0,0,0,0,1.31,0,0,0,6.13
 96-106,0,0,0,0,0,0,1.33,1.11,0,0,0,0,0.64,1.09,1.03,3.87,5.87,0,3.67,0,0,0,0,0,0,8.82,0,0,0,1.31
108-118,0,0,0,0,0,0.56,0,0,4.97,0,0,0,0,3,2.16,3.52,10.84,0,2.55,0.57,0,0,0,0,0,0.49,0,0,0,7.9
120,0,0,0,0,0,0,6.65,2.81,0,0,12.95,0,0,0,0,6.06,10.67,0,13.96,0,0,0,0,0,0,0,0,0,2.55,4.84
