stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature
  3-4,0,125.13,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,0
  5-6,24.93,57.34,0,0,0,0,0,0,0,10.44,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.44,0,0,0,0,0,12.63,0,0,6.94,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,11.23,0,0,4.62,0,0,0,0,0
 14-21,0,0,3.37,0,0,0,0,0,1.09,5.58,0,0,0,0,0,4.83,0,0
 24-34,0,0,5.66,0.76,0,0,0.68,0,0,12.91,0,0.64,0,0,0.65,3.75,0,1.91
 36-46,0,0,0,0,0,1.29,0,0,0,9.86,0,0,0,0,0,6.45,0,0
 48-58,0,0,0,1.29,0,1.5,0,0,0,5.14,0,0,0,0,0,3.06,0,0
 60-70,0,0,0,0,0,2.3,0,0,0,1.51,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.92,0,0,0,0,0,2.03,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.97,0,0,0,0,0,5.78,0,0,0,0,0,0,0,2.3
 96-106,0,0,0,0,0,1.64,0.83,0,0,0.67,3.58,2.25,0,0.62,0,0,0,0
108-118,0,0,0,1.88,1.54,0.78,1.6,3.83,0,10.77,0,0,0,0,0,0,0,2.81
120,0,0,2.37,0,0,0,0,0,0,11.57,0,0,0,0,0,0,1.37,0
