stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  5-6,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.53,0,0,0,7.08,0,0,0,0,0,0,0,0,0
 10-12,14.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.84,0,0,0,21.92,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,5.27,0,0,1.87,33.53,0,7.59,32.72,0,0,0,0,0,0,2.49,0,1.54,0,0,0,4.8
 24-34,0,4.82,0,0.68,0,0,0,0,0.95,0,32.64,0,0,4.24,175.48,0,22.85,29.18,0,0,0,0,0,0,0,0,0,0.98,0,0,0.63
 36-46,0,0,0,1.52,0,1.54,0,0,0.9,0,82.21,0,0,0,281.16,0,18.54,45.84,0,0,0.8,0,0,0,0,0.58,0,2.45,0,0,0
 48-58,0,2.6,1.51,11.06,0,1.75,9.92,0,0,0,160.1,0,0,1.1,320.67,0,13.7,14.34,0,0,1.44,0,0,0,0,0,0,6.8,0,0,0
 60-70,0,0,0,8.48,0,1.77,0,2.34,0,0,293.95,0,0,0,475.27,0.88,4.65,29.19,0,0,7.21,0,2.88,0,0,0,0,0,0,0,2.64
 72-82,0,0,2.02,13.94,7.39,4.12,1.46,0,0,0,218.88,0,0,0.59,518.18,0,6.69,12.22,0,0,6.41,0,3.54,0,0,0,0,3.99,0,1.45,7.06
 84-94,0,1.35,0,26.69,0,1,9.78,0,0,0.56,365.23,0,0,0,416.12,2.24,13.33,28.05,1.78,0,14.71,0,0,0,0,0,0,0,0,0,0
 96-106,0,0.67,3.34,5.51,0,6.05,0,0,3.09,1.56,379.44,0,0.7,0,349.87,0,10.04,42.8,6.6,1.14,15.93,0,6.02,1.86,0,1.36,0,0,0.56,0,0
108-118,0,3.1,0,16.35,0,1.8,1.23,0,0,0.84,655.45,0.45,0,0,424.67,6.39,10.97,22.25,1.2,0,13.75,0,8.51,4.67,0,0,0,0,0,0,0
120,0,14.68,0,3.21,19.53,0,0,0,0,0,297.5,0,0,0,318.82,12.66,14.82,11.82,0,0,5.66,0,9.36,0,0,0,0,0,0,0,3.85
