stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,heart,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,6.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.84,0.82,0,0,0,0,0,1.93,0,0,1.09,0,0,0,0
 24-34,0,0,0,1.84,0,0,1.24,0,0,0.91,0,0,2.81,0,3.55,0,0
 36-46,0,0,0,2.44,0,1.03,0,0,10.4,0.92,0,0,4.63,0,1.39,0,0
 48-58,0,0,0,0.87,0,1.4,0,0,0.53,0.91,0,1.9,23.44,0.46,1.4,0.4,0
 60-70,0,0,0,1.73,0,0,0,0,0,3.03,0,0,14.27,0.97,0,0,0
 72-82,0,6.62,0,0.65,0,1.58,0,0,0,1.06,0,0,26.91,0,0,0,0
 84-94,0,0,0.95,0,0,1.87,0,0,0,1.98,0,0.57,18.38,0,2.01,0,2.29
 96-106,0,0,0,15.28,0,0,0,0,0,1.14,0,0,7.89,0,0,0,0
108-118,0,0,0,6.17,0,0,0,2.23,0.47,0,0,0.9,5.59,0,0,0,0
120,0,0,0,14.12,3.43,0,0,3.58,0,1.47,3.62,0,12.87,0,0,0,0
