stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,100.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.1,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.34,0,8.3,0,0,0
 10-12,0,0,0,0,0,0,0,4.74,0,0,0,0,14.73,0,4.41,0,0,0
 14-21,0,1.24,0,0.81,0,0,0,0,0,0,0,0,6.82,0,0,0,0,4.98
 24-34,0,0,0,0.7,0,0,0,0,0,0.63,0,0,10.08,0,0,1.13,0,3.95
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,3.08,0,0,0,0,0.64
 48-58,0,0,0.38,4.55,0,0,0,0,0,0,0,0,6.68,1.69,0,0.5,0,0.51
 60-70,0,0,0,1.84,0,0,4.04,0,0,1.53,0,0,12.33,0,0,3.62,0,0
 72-82,0,0,0,1.07,0,0,0.66,0,7.73,0,0,0,1.03,0,0,2.22,0,0
 84-94,0,0,0,0,0,0,0,0,0.84,0,0.72,0,3.5,0,0,2.98,0,0
 96-106,0,0,0,2.88,0.63,1.65,0.68,0,0,0,0,0.86,3.49,0,0,5.55,0,0
108-118,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,7.25,0.87,0
120,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,15.09,0,0
