stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.15,1886.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.87,0,0,0,0,0,0,0,0,0,0
  5-6,107.93,1995.65,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,66.41,18.98,0,0,17.21,0,33.59,0,0,0,0,0,0,0,0,0,0
  7-9,42.76,42.28,0,56.46,0,0,212.09,0,0,0,0,0,70.01,0,0,0,0,0,0,0,0,0,0,0,1443.82,77.15,0,0,634.43,0,3.31,11.57,0,0,0,0,0,0,0,0,0
 10-12,0,43.93,0,73.75,0,12.46,96.39,0,0,0,0,0,22.8,0,0,0,0,0,0,0,0,0,0,0,863.86,17.45,0,0,436.96,0,0,0,0,40.54,0,0,0,0,0,0,0
 14-21,0,0,0,4.22,16.79,0,7.54,0,0,0,3.89,2.54,0,1.07,0,0,0.87,0,0,0,10.91,0,0,3.78,160.01,0.95,1.87,1.05,9.72,0,7.38,1.26,22.81,2.26,0,15.55,55.48,0,2.03,0,0
 24-34,0,0,0.71,0.64,7.55,1.52,22.92,0,0.7,0,3.61,1.08,0,1.04,1.95,1.02,0,0,0,0.59,27.56,0,0,8.61,382.84,1.65,3.57,3.33,0,0,5.42,0,0,0.64,0,6.87,82.79,0,6.92,0,0.62
 36-46,0,0,0,0,1.96,0.81,62.08,0,9.42,1.71,12.21,0.58,0,3.55,0,0.56,0,2.16,0,0,20.06,0,0.67,8.74,265.13,0.88,6.57,0.7,0,0,19.68,0,0,0.56,0,0,64.36,0,3,0,0
 48-58,0,0,0,0,0.38,0,92.99,0,0,0.41,17.34,0,0,1.78,2.8,4.84,0,0,0,0,27.62,0.95,2.98,6.09,220.51,0,3.14,0.38,0,0,11.28,0,0,0,0,0,42.56,0,0.5,0,5.59
 60-70,0,0,0,0,4.17,0,138.1,0,1.06,0.83,20.53,0,0,1.7,0,0,0,1.3,0,4.38,31.31,0,0,7.81,171.56,0,0,0.59,0,0,5.7,0,0,0,0.65,0,49.6,0,4.77,0,0
 72-82,0,0,1.48,0,3.37,1.36,138.24,0,0,0.74,24.27,1.62,0,0,0.5,1.07,0,0.56,0,0,38.34,0,1.17,2.49,164.78,1.3,0,1.59,0,1.67,1.73,1.65,0,0,0,0,28.75,1.44,3.21,4.65,3.69
 84-94,0,0,0.8,0,6.28,0,82.46,0,0,3.42,11.96,1.34,0,0,2.23,0.75,0,0,0,0,35.52,0,2.4,2.74,140.06,0.65,18.29,5.97,0,0,18.82,0,0,0,0,0,12.88,0,0.64,0,1.57
 96-106,0,0,0.83,0,9.53,0,87.26,0,0,2.66,30.24,2.41,0,3.1,2.48,0,1.47,0.63,0,0,56.23,0,0,8.3,77.64,1.13,0,3.32,0,0,18.04,0,0,0,0,0,8.57,0,1.98,1.17,0.63
108-118,0,0,2.37,0,7.38,1.5,101.79,0,1.83,3.2,31.15,0.99,0,0,5.7,0.88,1.19,1.01,1.5,0,67.5,0,1.86,6.08,159.42,0.55,0.7,2.85,0,2.15,4.66,0,0,0,0,0,2.72,1.46,11.95,0.44,0.97
120,0,0,0,0,13.78,2.41,70.06,1.18,0,5.21,53.18,1.26,0,0,0,4.13,4.95,0,0,0,50.99,0,10.62,4.71,171.06,0,6.87,12.88,0,0,24.9,0,0,0,0,0,13.12,0,7.26,0,7.26
