stage,axial,blastomeres,endoderm,hatching.gland,neural,notochord,paraxial.mesoderm
  3-4,11.28,286.86,0,0,0,0,0
  5-6,6.7,275.59,0,0,17.24,0,0
  7-9,3.81,4.37,3.85,3.85,133.26,4.1,34.04
 10-12,0,0,10.88,0,81.21,4.45,9.99
