stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.64,0.9,21.06,0,0,4.31,0,0,0,0,0,0,0,0,0,0,0.93,0,0,7.25,0,0,0,779.79,0,4.48,0.91,0,2.05,0,0,1.03,821.19,0,0,0,0,0
 24-34,0,0,0,0,1.95,0,1.97,0,0,0,2.5,0,0,0,0,0,0,1.14,0,0.69,6.78,4.95,0,0.61,1298.07,0,0,24,2.36,0,0,0,1.64,697.65,0,0,0,0,0
 36-46,0,0,0,2.31,0,0,66.12,0,0,0,3.36,0,0,0,0,0,0,3.91,0,0,7.51,0,0,2.79,6101.96,0,2.67,18.21,9.44,0,0,0.74,0,1026.16,0,0,0,0,0
 48-58,0,0,0,40.35,0,0,981.82,2.74,1.23,1.07,75.85,0.38,1.43,0,1.86,0,2.03,3.63,4.78,0,31.75,0,0,9.07,9629.59,0,11.8,40.65,4.94,0,0,4.42,0,1746.24,0,0,3.6,0,6.6
 60-70,0,0,0,13.77,0,0,1927.47,0,0,0.93,52.64,0,0,0,9.75,1.37,0.82,15.98,11.94,0,42.12,0,0,5.68,8001.07,5.48,0,85.94,5.64,0,0,0,0,1218.7,0,0,1.09,0,1.87
 72-82,0,1.22,0,22.22,9.53,0,1862.7,0,1.93,1.04,62.39,0,0,0,8.22,0,1.55,34.52,4.12,0,56.08,0.55,0.72,1.76,5216.36,0.51,1.03,133.45,4.39,0,7.13,0,0,496.72,2.43,1.36,11.32,6.68,36.54
 84-94,0,0,0,28.88,1.05,0,1673.88,1.13,0.91,1.64,85.93,3.83,0,1.14,0,0.75,8.9,34.49,0,0,43.6,0,6.66,1.83,3371.14,0,2.79,178.83,22.17,0,0,0.64,0,347.23,0,1.91,17.83,0.8,0
 96-106,0,0,0,36.09,23.43,0,913.31,0,0.62,0,78.94,3.99,0,3.39,13.01,0,0.76,71.26,14.26,0,26.63,2.95,0,4.07,2673.72,0.97,0,209.43,14.39,0,0,10.11,0,82.84,0,0,8.01,1.5,10.3
108-118,0,0,0,36.28,4.68,0.69,1016.48,0,2.14,0,78.16,1.84,0,4.82,1.69,0,0,52.09,6.27,0,83.29,0,0,1.08,4169.49,1.14,1.4,163.63,6.67,0,0.94,0,0,80.85,4.68,0,4.23,0,3.64
120,2.37,0,0,15.32,5.5,0,1425.52,0,1.21,19.12,137.3,3.14,0,0,0,6.59,2.22,47.91,12.44,0,36.26,0,0,1.49,4797.12,3.99,1.32,245.25,0,0,0,0,0,157.03,0,0,7.51,0,0
