stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,0,0,0
  5-6,0,249.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.39,0,0,3.72,0,0,0,41.93,0,0,0,0,8.45,0,0,0,0,0,0,0,0,0,0,0,122.92,10.16,0,0,84.18,0,0,8.66,0,0,0,0,0,0,0,0,0
 10-12,0,15.17,0,31.52,0,0,0,44.14,0,0,0,0,9.17,0,0,0,0,0,0,0,0,0,0,3.87,399.9,8.53,0,0,159.74,0,3.07,0,0,9.5,0,0,0,0,0,0,0
 14-21,0,0,0,6.29,76.41,2.99,0,30.29,0,0,6.76,4.41,0,2.78,0,0,0,0,0,0.85,39.45,0,0,19.35,340.52,8.4,0,4.44,3.02,0,3.33,0,21.62,0,47.05,78.87,0,0,0,0,0
 24-34,0,0,1.32,1.34,17.73,0.6,0,44.04,0.73,2.66,10.02,3.68,0,0,2.53,0,0,3.2,0,0.98,54.16,0,0,12.78,407.26,2.04,5.92,2.84,0,0,24.48,0,0,1.04,2.02,92.81,0,0,4.62,0,0
 36-46,0,0,0,0,12.27,0,0,62.61,0,3.77,26.2,1.43,0,2.56,0,0.83,0,0.75,2.52,2.08,56.05,0,2.04,11.65,295.02,20.03,4.56,0.63,0,0,50.26,0,0,0.75,0,87.81,0,0,3.17,0,0
 48-58,0,0,0,0.43,17.24,0,0,54.68,1.76,1.3,41.75,0,4.41,0,0.38,0,6.68,0.91,0,3.75,72.72,0,9.65,6.88,210.5,3.61,2.55,2.92,0,0.59,7.3,0,0,5.81,0,52.41,0,0.61,7.4,0,1.03
 60-70,0,0,0,0,10.71,0,0,87.73,9.45,2.41,68.93,1.75,1.77,2.35,0.65,1.1,0,1,0,0,116.41,0,12.57,17.86,252.54,1.12,2.92,0,0,0,27.79,0,0,0,0,61.29,0,1.61,7.49,1.38,11.06
 72-82,0,0,2.42,0,9.43,0,0,102.49,2.19,6.65,50.93,5.02,0,5.25,0.78,0,0.93,4.23,2.17,0,146.82,1.05,9.67,15.03,202.59,5.91,21.4,3.54,0,0.71,10.37,0,0,0,0,37.59,0.62,2.49,19.63,4.04,2.27
 84-94,0,0,3.15,0,13.33,0.88,0,58.3,3.27,0,23.2,4.26,0,4.24,3.22,1.14,0.62,4.88,1.14,0,103.04,0,5.37,6.31,118.06,0,5.23,3.16,0,0,25.25,0,0,0,0,21.13,1.83,8.31,15.82,2.68,2.24
 96-106,0,0,1.36,0,25.91,3.6,0,93.88,2.77,10.74,85.92,4.57,0,3.52,4.48,2.5,8.57,4.31,8.52,0,127.06,0,2.95,21.78,163.71,2.21,12.33,7.1,0,4.68,56.59,0,0,0.73,0,16.38,5.52,8.41,33.26,3.57,4.42
108-118,0,0,4.31,0,22.99,0.49,3.22,144.73,14,4.07,100.27,9.11,0,6.21,4.74,3.22,7.85,8.37,5.52,3.61,234.16,0,9.73,15.86,208.32,9.89,14.43,14.17,0,24.26,53.78,0,0,0.51,0,8.98,7.33,4.09,24.02,6.27,3.76
120,0,0,6.14,1.28,39.56,0,0,232.76,7.56,3.67,123.45,2.59,0,0,7.56,0,0,4.65,0,1.54,216.56,1.15,9,5.48,225,0,7.96,12.42,0,0,14.66,0,0,1.02,0,9.37,3.68,0,33.42,15.49,0
