stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,25.43,148.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.4,311.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79,13.98,0,0,15.31,0,0,0,0,0,0
  7-9,3.98,14.79,5.11,0,0,0,17.17,0,0,0,0,36.39,0,0,0,0,0,0,0,191.77,0,0,71.25,0,0,0,0,0,0,0
 10-12,0,14.45,51.52,0,0,0,65.78,0,0,0,0,30.81,0,0,0,0,0,0,0,435.09,7.25,0,133.91,0,0,21.59,0,0,0,0
 14-21,0,0,1.89,9.59,6.25,0,4.65,0,0,2.35,1.08,6.14,1.22,0,0,4.35,0,0,4.63,82.36,2.15,0.9,1.76,3.22,16.38,0.94,18.59,21.6,0,0
 24-34,0,0,0,3.77,0,0,6.05,0.68,0,2.69,0.67,0,0,3.75,1.1,1.73,0,0,3.35,60.31,0,0,0,5.17,0,0,3.34,7.49,2.07,0
 36-46,0,0,0,0.63,0,0,4.96,0,4.17,1.49,0,4.57,0,1.19,0,12.47,0,0,3.16,13.82,0,0,0,6.56,0,0,0,6.03,2.81,0
 48-58,0,0,0,0,0,0,3.39,0,0.37,1.66,0,0.57,0,0,0,1.93,0,0,0.45,7.51,0,0,0,5.01,0,0,0,0.67,0,0
 60-70,0,0,0,0,0,0,3.52,0,2.6,0.78,0,0,0,0,0,8.11,0,0,0,12.16,0,0,0,10.4,0,0,0,1.37,0,0
 72-82,0,0,0,1.17,1.02,0,2.33,0,0,7.48,0,0,0,0,0,6.25,0.77,0,0,2.58,0,0,0,4.22,0,0,0,0,0,0.55
 84-94,0,0,0,0.96,1.48,0,0.77,0,0,0,0,0.6,0,0.69,0,9,0,0,0,1.07,0,0,0,4.64,0,0,0,0,0.97,0
 96-106,0,0,0,0,0,1.05,1.71,0,0,0,0,0,0,3.17,0,2.46,0,0,0,0,0,0,0,5.76,0,0,0,4.4,0,0
108-118,0,0,0,0,1.1,0,0.76,0.49,0,2.53,0,0,0,0,0,8.89,0,0,0,7.14,0,0,0,3.77,0,0,0,0,0,0
120,0,0,0,1.08,5.6,0,0,0,0,0,0,0,0,0,0,8.52,1.63,2.35,0,2.34,5.86,0,0,3.43,0,0,0,0,3.65,0
