stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,33.05,558.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.35,0,0,0,0,0,0
  5-6,20.82,304.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.98,0,0,0,16.12,0,0,8.16,0,0,0,0,79.44,16.05,0,0,32.07,0,0,0,0,0,0,0
 10-12,0,5.54,0,6.99,0,0,0,12.02,0,0,0,0,0,0,0,108.19,0,0,0,12.21,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,1.73,30.28,0,18.28,1.35,0,0,0,0,0,1.89,84.42,0,0,0,0,0,1.3,0.81,1.78,5.41,6.93,0
 24-34,0,0,0,0.86,0.8,0,0,8.93,0,3.07,0,0,0.91,0,0.76,23.82,0,0,0,0,0,0,0,0,0,2.85,3.39
 36-46,0,0,0,0,0,0,0,0.58,0,0,0,0,2.12,0,0.64,5.82,0,0.83,0,0,1.27,0,0,0,0,0.63,0
 48-58,0,0,0,0,0,0,0,0.45,0,2.86,0,0,0,0,0,8.63,0,0,0.38,0,0,0,0,0,0,2.38,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,3.67,0,0,0,0,0,0,0,0,0,1.42,0
 72-82,0,0,0,0,0,0,0,1.01,1.47,0,0,0,1.84,0.74,0,7.15,0,0,0,0,0,0,0,0,0,1.05,0
 84-94,0,0,0.73,0,0,0,0,1.05,1.63,0,0,0,0,0,0,6.35,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.92,3.23,0,0.57,0,0,0.6,0,1.52,2.19,0,0,0.81,0,0,0,0.57,0,0,0,0
108-118,0,0,0,0,0.64,0,0.59,8.69,0,0,0,0,0,0,0,7.31,0,1.82,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,4.52,1.14,0,0,0,0,0,0,11.13,0,0,1.43,0,0,0,0,0,0,0,0
