stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,424.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143.34,0,0,0,0,0,0,0,0,0,0
  5-6,12.55,272.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8,0,0,0,0,1637.96,0,0,0,0,0,0,0,0,0,0
  7-9,11.99,0,0,13.86,0,0,0,7.07,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,135.15,0,0,0,60.45,544.5,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.72,0,25.2,0,0,0,5.49,0,0,0,0,10.59,0,0,0,0,0,0,0,0,0,445.08,8.31,0,0,109.21,350.95,0,0,12.47,0,5.73,0,0,0,0,0
 14-21,0,0,0,2.26,66.4,0,0,5.23,0,0,0.84,7.67,26.61,0,0,25.35,0,0,1.12,3.21,0,0,29.87,0.81,0,3.5,0,1278.55,1.23,1.84,0.91,4.61,1.61,5.68,0,2.73,0,0
 24-34,0,0,0,4.19,71.31,0,0,0,0,0.69,3.43,5.07,12.91,0,0.6,99.04,6.21,2.86,11.23,71.27,0,3.95,112.83,0,18.92,6.75,0,1660.95,0,0,0,0,0,3.5,0,0,0,1.34
 36-46,0,0,0,0,24.26,0,0,8.44,2.89,0,2.57,2.91,0.7,0,0,40.45,3.22,0,1.97,60.07,0,2.43,69.08,0,24.1,9.25,0,2183.05,1.49,1.63,0,0,0,2.48,0,0,0,0
 48-58,0,0,0,0,36.89,0.43,0,31.77,5.3,0,1.4,6.17,6.3,0,0,34.68,3.91,3.98,3.77,88.13,0,0.56,52.13,0,19.74,6.8,0,1236.13,0,0,1.28,0,0,6.68,0,0,0,0
 60-70,0,0,0.86,0.68,51.32,0,0,103.33,11.74,0,0,19.6,4.81,0,0,14.9,6.96,11,1.4,43.15,1.04,0,49.09,0,24.25,6.78,0,817.66,0,0,0.63,0,0,1.85,12.06,0,0,0
 72-82,0,0,5.47,0,86.51,0,0,177.76,11.09,0,9.36,63.72,6.87,0,0,25.8,13.76,4.65,11.13,108.56,0,0,50.66,0,20.28,23.07,0,597.03,0,0,1.05,0,0,0,19.58,1.44,0,9.52
 84-94,0,0,10.59,0.78,166.56,0,0,130.72,15.3,0,1.33,110.32,3.54,0,0,27.13,21.51,11.6,1.82,92.03,0,0,26.33,0,19.13,17.95,0,1663.7,0,0,3.84,0,0,6.69,65.57,0,0.67,0
 96-106,0,0,7.75,0,268.37,9.75,0.62,235.95,19.19,0,0,229.67,0,0,2.1,43.32,29.26,1.06,1.35,101.23,0,2.13,70.69,2.06,42.16,39.76,0,1450.3,0,0,1.33,0,0,3.92,108.36,0,0,0
108-118,0,0,2.98,5.85,223.26,2.97,0.42,304.87,32.24,0.65,8.74,209.02,0,0.49,0.54,51.39,21.74,5.28,12.21,86.42,0,0.9,61.81,0,24.53,16.2,0,1361.52,0,0,2.78,0,0,9.49,121.4,0,4.53,0
120,0,0,0,0,249.98,10.17,1.61,189.58,61.53,5.01,0,178.77,0,0,0,38.73,11.72,0,14.01,51.31,0,0,69.13,0,41.78,34.96,0,915,0,0,6.44,0,0,5.92,44.45,0,0,0
