stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste
  3-4,0,20.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.74,0,0,0
  5-6,8.84,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.41,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.04,0,0,0,7.96,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.17,21.48,0,0,5.75,0,0,0,0
 14-21,0,0,16.38,0,0,0,0,0,0,0,0,1.35,0,1.19,0,0,0,0,0,0,0.91,3.71,0
 24-34,0,0,0,0,0,0,0,0.6,1.24,0,0,0,0,0,3.98,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,5.6,0,0,0,0,0,0.89,0,0
 48-58,0,0,0,0,2.7,0,0,0,0,0,0,0.45,1.16,0,4.2,0,0,0,0,0,0,1,0
 60-70,0,0,2.34,0,0.75,0.58,0,0,0.58,0,0,0,1.76,0,0,0,0.72,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.18,0,0,4.62,0,0,0.7,4.49,0,9.02,0,0,1.37,0,0.73,0,0,0
 84-94,0,0,0,0,0,0,0,0,0.56,0,0.6,0,0.84,0,2.43,0,0,0,0,0.63,0,0,0
 96-106,0,0,1.27,1.07,1.88,0.8,0,0,0,0.73,0,1.7,2.53,0,0.76,0,0,0,0,44.94,0.61,0,1.01
108-118,0,0,3.91,0,0.45,0,0.47,0,0.42,0,0,3.7,7.23,0,1.69,0,0,0,0,40.17,1.92,0,0
120,0,0,28.36,0,0,14.62,0,2.88,3.26,0,0,0,3.49,0,1.58,0,0,0,0,115.35,1.79,0,0
