stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,9.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0
 14-21,1.11,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,1.39,0,0.87,0,0,0,0,0,0
 24-34,2.89,0,0,0,0,0,0.77,0,0,0,0,0,0,7.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.67,0,0,0,0.88,0,0,0,0,0,9.65,0,0,0,0,0,0,1.4,0,6.36,0,0,0,0,0
 48-58,1,0,0,0,3.26,0,0,0,0,0,0.43,0,0,16.02,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0
 60-70,1.84,0,0,0,53.62,0,0,0,0,0,0,0,0,44.1,0,0,0,0,0,0,0,0,3.86,0,0,0,0,0
 72-82,0.64,0,3.81,0,310.22,5.3,1.81,0,0,0,0,0,0,58.86,0,0.93,0,0,0,0,0,0,3.45,0,0,0,0.54,0
 84-94,1.67,0,3.52,0,315.13,12.56,0,0,1.88,0,6.35,0,0,53.4,1.25,0,0,0,1.11,0,0,0,5.82,0,0,0,0.78,0
 96-106,4.73,0,2.35,0,687.54,15.09,2.12,0.98,0,1.26,5.17,0,1.1,108.06,0,0.57,2.96,0,0,0,0,0,0,0,4.33,0,6.83,0
108-118,2.74,0,0,0,652.07,12.63,4.2,0,0,0.7,22.96,2.87,0,163.12,0.46,0.42,0,0,0,0,0,0,0,0.71,0,0.99,0.57,7.83
120,6.47,0,0,0,485.73,12.04,0,0,0,0,4.42,9.54,0,345.98,0,0,14.75,0,0,0,0,0,0,0,0,0,0,0
