stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.61,188.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64,0,0,0,0,0,0,0,0,0,0
  5-6,9.34,44.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.62,0,0,0,0,9.59,0,0,0,0,0,0,0,0,0,0
  7-9,7.9,18.77,0,5.73,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,15.29,0,0,7.34,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.13,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.51,1.91,0,2.19,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,6.53,0,0,0,44.87,0,0,1.65,0,11.65,0,0,0,0,13.28,0,0,1.29,0,0
 24-34,0,0,0.71,1.18,3.43,0.89,0,6.6,0,0,0,0,0,0,0,0,1.23,0,0,0,3.12,0,3.32,1.57,394.71,0,1.49,0,0,9.75,0,2,0,0.69,114.68,0,0,6.03,0,0
 36-46,0,0,0,0,4.7,0,0,65.66,0,0,0.57,7.18,0,0,0,0,0,0,0,0,6.35,0,1.75,0,948.62,0,0,0,0,3.36,0,0,0,0,277.01,0,0,7.77,0,0.64
 48-58,0,0,0,0,7.17,0.44,0,453.76,0,3.56,0,80.03,0,0.93,0,3.64,0,0.85,0.49,0.8,16.98,0,0.92,9.01,1463.81,0,1.07,0,0,7.58,0,0,0,0,207.77,0,0,7.91,0,0
 60-70,0,0,0,0,6.45,3.08,0,1484,0.91,0,0,202.26,0,0,5.1,1.25,0,5.07,1.2,0,27.21,0,1.04,0,2076.82,0,0,4.86,0,3.88,0,0,0,0,260.44,0,0,14.79,0,0
 72-82,0,0,0,0,7.63,5.3,0,1358.15,2.62,2.5,2.01,321.61,0.71,0,1.13,8.58,0,5.78,0,0,65.2,0.77,0.75,5.24,2240.87,0,1.21,10.27,0,6.51,0,0.97,0,0,298.58,0,1.03,4.05,4.56,10.24
 84-94,0,0,0,0,20.24,3.05,0,1126.66,0,0.57,1.75,191.41,1.75,0,0,5.21,0,17.24,1.82,0,57.22,0,0,7.86,1588.58,0,0,12.42,0,11.75,0,0.7,0,0,240.54,1.19,5.6,5.97,3.47,7.6
 96-106,0,0,4.98,0,26.77,17.08,0,1666.38,0.69,0,0,269.25,1.16,0,2.97,2.97,2.39,1.96,0.8,0,72.02,0,2.34,1.61,1337.96,0.87,0,16.04,0,7.46,0,2.06,0,0,100.29,1.92,0,13.51,3.08,1.43
108-118,0,0,2.26,0,17.04,12.89,6.86,1810.71,0.67,2.46,6.95,154.29,0.49,0,0,4.61,0,24.33,0,16.42,62.01,0,1.05,1.52,1615.87,0,0,16,0,18.5,0,1.52,0,0,130.72,3.72,0,12.53,0.49,1.5
120,0,0,0,0,59.47,2.21,14.93,1342.26,0,21.39,5.01,433.71,0,0,0,0,0,13.2,1.07,42.36,79.06,1.1,0,12.66,2094.77,6.56,0,26.79,0,8.39,2.5,0,1.63,0,128.38,0,0,19.34,0,0
