stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,32.41,156.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.93,0,0,0,0,0,0,0,0
  5-6,48.1,367.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,9.89,27.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.51,0,0,0,12.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.2,0,0,20.54,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.85,0,0,0,0,0,6.02,0,0,0,0,0,0,0,0,0,40.18,0,0,5.96,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.04,10.54,0.82,0,0,0,0,0,0,2.29,0,0,0,0,0,0,0,0,0,1,1.66,0,0,0,2.95,0,0,1.97,0,0,0,0,0
 24-34,0,0,0,0,9.66,0,0,1.44,0,3.16,0,0,3.09,0,0,2.83,0,0,0,6.22,0.7,0,0.86,32.99,3.28,1.37,0,17.52,0,1.78,12.11,0,0,0,0,0
 36-46,0,0,0,0,12.74,0,0,5.83,0,9.47,0,5.83,0,0,0,0,0,0,0,6.21,0,0.56,0,40.68,1.29,3.11,0,32.24,0,0,14.46,0,0,1.49,0,0
 48-58,0,0,0,0,1.74,0,0,5.7,0,2.55,0,6.8,0,0,0,6.13,0.89,0,4.44,8.22,0.49,0,2.18,37.18,1.3,0.4,0,16.99,0,0,16.03,0,0,0,0,0
 60-70,0,0,0,0,9.47,0,0,12.72,0,5.32,0,5.34,5.12,0,0,0,0,0,0,14.38,0,0,1.33,64.11,2.12,0,0,18.73,0,0,5.93,0,0,0,0,4.69
 72-82,0,0,0,0,12.33,0,0,17.83,0,11.72,4.6,8.35,0,0,0,0,0,0,0,14.98,0,1.11,1.62,60.12,2.02,1.65,0,10.89,0,0,3.09,0.5,5.53,3.51,0,0
 84-94,0,0,1.55,0,16.38,0,0,6.39,0,4.57,0.83,11.46,0.64,0,0,0.83,0,0,0,9.4,0,0,0,21.65,1.05,0,0,39.32,0,0,0,0.71,5.14,0,0,0
 96-106,0,0,0,0,11.86,0,0,5.88,0,6.31,0,11.06,1.02,0,0,0,0,0.91,0,20.78,5.56,1.43,2.63,17.61,0.81,1.13,0,27.97,0,0,0,0,0,0,1.22,0
108-118,0,0,0,0,20.8,3.12,2.03,3.72,0,8.64,1.24,7.85,1.38,0,0.63,1.07,0.42,0,0,25.8,0,1.44,0,29.63,0.7,3.65,0,20.8,1.07,0,1.53,0.85,0.9,5.35,0,0
120,0,0,0,0,48.25,0,0,8.74,2.87,3.33,2.59,10.67,14.39,0,0,0,0,0,0,35.66,0,0,7.29,42.77,0,0,0,7.94,1.02,0,0,5.08,0,19.01,0,0
