stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.07,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,22.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.12,0,0,0,3.5,0,10.3,0,0,0,0,0,0,0
 10-12,0,9.09,0,0,0,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.48,0,0,0,9.78,0,3.07,0,0,0,0,0,0,0
 14-21,0,0,1.99,11.27,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,9.22,0,0,0,0,0,36.54,0,0.83,0,0,0,0,0
 24-34,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,5.12,0,0.79,0,0,0,62,0,6.96,0,0,0,0,0
 36-46,0,0,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,18.67,0,0.6,0,0,0,123,0,3.73,0,0,0.86,0,0
 48-58,0,0,2.24,2.29,0,12.84,0,0,0,77.35,2.41,0,0,0,0,0,0,0.45,6.66,0,0,4.87,0,0,0,0,0,66.94,0,4.27,0,0,0,0,0
 60-70,0,0,0.97,0,0,33.35,0,0,0,2300.05,0,0,0,1.29,6.73,0,3.56,3.33,8.75,0,0,35.36,0,0,0.62,0,0,86.6,0,4.84,0,0,0,0,0
 72-82,0,0,0.97,0,0,72.75,0,0.81,0,4783.12,5.93,0,0,1.58,0.64,1.95,0,27.33,10.16,0,0,71.47,0,1.81,2.03,0,0,46.98,0,3.1,1.39,0,0,0,0
 84-94,0,0,49.54,4.56,0,97.12,0,0.8,0.75,4433.43,5.31,0,0.55,0.76,0,0,1.16,121.45,8.02,0,0.98,63.94,0.62,0.6,1.57,0,0,154.34,0.6,7.06,0,1.23,0,4.9,0
 96-106,0,0,76.73,1.5,0,245.7,0.73,49.83,0,7156.11,8.01,0,10.61,10.16,1.03,0,2.05,72.54,8.13,0,0.57,137.25,0,2.3,1.13,0,3.62,127.87,0,0,0.59,0,7.09,0,0.8
108-118,0,0,9.45,12.44,23.75,68.95,0,3.92,1.04,8148.4,12.71,0,0,10.79,0,0,0,47.24,2.35,0,0.48,159.92,0,0,0,0,0,205.79,0,13.4,11.81,0,1.6,1.02,0
120,0,0,15.16,0,5.27,257.59,5.69,4.08,21.1,9556.3,6.98,3.83,0,4.02,0,2.13,13.95,51.31,0,8.33,1.08,173.69,0,11.95,0,0,0,91.12,0,48.43,3.57,0,4.37,0,0
