stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,15.86,3.38,0.97,0,1.2,0,0,0,0.82,6.16,12.06,0,1.03,0,0,0,45.52,0,12.08,41.42,1.07,0,0,0,0,0,0.83,2.28,1.87,0,5.22,0,0,0,0
 24-34,3.17,3.88,0.87,0,1.22,0,0,2.38,0,0,7.94,0,0,11.61,0,2.3,39.22,0.69,6.46,62.91,0.97,2.63,0,0,0,0,0,4.45,0,1.11,6.36,0,0,4.03,0
 36-46,0,7.6,2.92,0,0,0,0,11.66,0,0,21.98,0,0,4.05,0,0.64,43.46,2.26,2.15,48.39,0.64,1.94,0.81,16.41,0,0,0,6.08,0,0,5.08,0,0,0,0
 48-58,0,0.58,0,0,3.44,0,0,37.32,0,0,15.27,0,0,5.86,0,4.38,42.58,1.31,0.98,73.88,2.43,0,0.85,0,0.73,0,0,11.85,0,0,27.84,0,0,6.26,0
 60-70,2.79,2.86,0,0,7.4,0,0,140.34,7.44,0,15.83,0,0,4.59,1.52,0.87,31.87,11.53,0,78.7,10.34,2.65,5.49,0,0.94,18.67,0,12.13,0,0,65.48,0,0.59,13.5,0
 72-82,0,1.15,0,0,47.84,1.08,0,276.42,2.04,0.55,8.68,0,0,1.42,0,0.73,81.28,6.26,0,129.94,0,2.89,5.85,0,0.83,0,0,2.01,0,0,20.76,0,0,5.79,1.78
 84-94,0,10.11,0,0,32.18,0,0,215.5,3.19,0,9.85,0,0.86,1.91,0,1.23,54.5,2.46,0,70.35,9.76,3.41,0,0,0,0,0,3.89,0,0,10.01,2,2.01,4.77,0
 96-106,2,7,0,0,50.37,1.57,0,282.8,7.06,0,5.77,0,1.02,3.92,0,3.11,32.45,0.88,0.71,138.46,1.95,7.02,14.49,0,4.08,0,0,3.61,0,0,9.92,0,5.77,0,2.07
108-118,1.89,8.38,0,0.51,55.42,0,0,343.41,18.46,0,6.7,0.57,1.24,9.91,0,5.42,64.51,22.76,0,115.31,1.57,5.08,2.96,0,4.92,0,0,4.29,0,0,21.03,2,7.85,1.39,0
120,0,1.34,0,0,38.31,0,2.17,498.95,3.43,0,7.17,0,12.11,8.39,0,9.08,65.98,2.76,0,118.58,3.39,3.14,0,0,17.54,0,0,12.1,0,0,12.63,0,0,0,5.91
