stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.74,347.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.34,496.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.66,0,0,0,6.56,0,7.13,0,0,0,0,0,0,0,0,0
  7-9,5.83,11,0,33.1,0,0,47.17,0,0,0,0,0,13.23,0,0,0,0,0,0,0,0,0,0,0,544.29,0,0,0,179.18,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.34,0,24.3,0,24.69,49.53,0,0,0,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0,646.79,7.71,0,0,242.16,0,0,0,35.06,0,3.51,0,0,0,0,0
 14-21,0,0,0,1.03,28.99,1.97,17.55,0,0,0,11.56,0,0,0,0,0.96,0,0,0,0,36.1,0,0,35.03,446.15,0,3.23,1.81,9.3,0,3.92,8.03,0,24.12,107.5,0,0,0,0,0
 24-34,0,0,0,0.64,8.69,0,116.7,0,0,0,10.72,0,0,0,0,0.65,4.87,0.71,0,0,146.93,0,0,67.94,1308.11,0.81,6.82,3.33,0,0.99,5.05,0,0,2.4,213.98,0,0,14.75,0,1.42
 36-46,0,0,0,0,20.68,0.9,295.24,0,0,1.47,15.53,0,0,0,0,0,18.7,0,0,0,152.49,0,3.31,53.08,973.74,4.3,8,0.59,0,0,2.25,0,0,0,193.44,0,0,2.25,0,2.1
 48-58,0,0,0,0,16.72,2.7,355.65,0,14.73,4.07,56.61,0,0,0,0.47,0,5.9,0,0,0.48,216.89,0.97,2.74,28.55,633.22,0.45,1.47,8.42,0,0,0,0,0,0,70.09,0,0,11.73,0,3.48
 60-70,0,0,0,0,4.94,3.52,221.99,0,0,1.4,43.51,8.41,0,0,3.2,0,0,2.88,3.95,0,136.41,0,10.04,26.91,356.92,0,0.58,0,0,0,14.73,0,2.82,0,34.76,0,0,3.89,3.12,0
 72-82,0,0,0.76,0,2.85,0,81.39,0,1.08,2.8,44.03,1.58,0,0.5,1.89,1.03,0,0,0,0,143.82,0,3.85,31.22,252.47,0,3.64,3.7,0,1.82,0.51,0,0,0,2,0,0,6.95,0,0
 84-94,0,0,0.74,0,6.08,0,85.87,0,0,1.01,39.88,1.68,0,0,1.43,0.56,0.7,0,0,0,123.06,0,5.1,20.91,190.13,0,8.22,0,0,0,6.48,0,0,0,7.81,3.4,0,2.09,0,0
 96-106,0,0,0,0,4.71,0,43.21,1.05,0,0,42.6,5.44,0,0,4.64,0.68,0,2.23,2.82,0,84.29,0,0,9.6,146.96,0,0,6.91,0,0,3.5,0,0.69,0,4.16,0.65,2.7,5.8,2.17,2.89
108-118,0,0,0,0,7.57,0,72.41,0,0,3.66,32.69,2.55,0,0,10.12,1.43,2.13,0.6,2.26,0,63.28,0,1.6,13.44,194.5,0,3.57,0.89,0,0,0.93,0,0,0,7.97,0,0,5.36,0,0
120,0,0,0,0,8.88,0,83.02,4.08,0,0,90.32,5.29,0,1.54,0,0,0,0,3.19,0,53.46,0,0,10.6,177.42,0,0,0,0,0,0,0,0,0,2.54,0,0,4.84,0,2.33
