stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,15.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,0,0,7.72,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.83,0,0,0,8.21,0,0,0,0,0,0,0,0,0,0,0,0,10.93,0,0,17.92,0,0,0,14.99,0,0,0,0,0,0
 14-21,0,0,5.04,3.58,0,0,0,0,1.08,0.81,0,0,0,0,0,5.75,0,2.52,6.86,0,0.83,2.05,0,0,4.01,0,0,6.74,6.4,0,0,1.92
 24-34,0,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,3.45,17.38,0,0,0,0,4.96,0,0,0,2.04,2.77,0,0.74,0
 36-46,0,0,0,0,0,0.62,0.89,0,1.99,0,0,0,0,0,0,3.13,0,0,31.72,0,0,0,0,7.73,0,0,5.85,0,0,0,1.04,0
 48-58,0,0,0,0,0,6.32,0,3.06,0.68,0.51,0,0,0,0,0.73,4.95,0,0.42,26.74,0,6.99,0,0,5.3,0,0,0,0,2.41,0,1.01,0
 60-70,0,0,0,0,0,10.29,0,0,1.16,0,0,0,0,1.32,0,0,0,0.77,26.26,0,0,0,0,6.01,0,0,0,0,2.73,0,0,0
 72-82,0,0,0,0.51,0,24.59,0,0,2.29,0.6,0,0,0,0,0,2.77,0,0,24.08,0,0.59,0,0,0,0,0,0,0,0,0,2.3,3.06
 84-94,0,0,0.7,0,0,20.47,0,0.91,0,0.61,0.71,0.74,1.62,0,0,4.92,0,0,22.57,0,0.76,0,0,15.19,0,0,0,0,6.54,0,0,0
 96-106,0,0,1.79,8.48,0,34.82,0,0,7.82,1.79,0,0,0,0,0,4.89,0,0.91,31.96,0,0,0,1.54,5.84,0,0,0,0,12.13,1.21,5.89,0
108-118,0,0,3.02,2.18,0.6,18.98,0,0.5,11.31,4.05,0,0,0,0.45,0,1.05,0,0.56,46.84,2.51,2.79,0,0,16.04,0,0,0,0,0,0,0.48,0
120,0,0,12.25,1.49,0,22.15,1.62,0,2.43,1.52,2.24,2.06,0,0,0,19.57,13.74,0,29.06,0,6.39,0,0,5.04,0,0,0,0,0,0,0,0
