stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,157.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617.14,0,0,0,0,0,0,0,0
  5-6,6.8,255.29,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3354.1,0,0,0,0,0,0,0,0
  7-9,0,15.97,0,0,0,0,0,5.79,0,0,0,0,0,27.01,0,0,0,0,0,0,0,0,0,0,119.36,0,0,0,35.65,0,389.48,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.57,0,0,0,13.1,0,0,0,0,0,71.79,0,0,0,0,0,0,0,0,0,0,102.92,0,0,0,39.47,0,61.23,0,6.98,0,0,0,0,0,0
 14-21,0,0,1.23,29.26,116.23,3.19,0,1.24,0,0,0,1.18,40.34,0.96,0,72.81,0,0,0,0,3.49,14.9,0,4.18,50.6,0,32.97,13.26,0.86,0,593.69,0.91,56.63,2.01,32.66,0,0,0,0
 24-34,0,0,3.92,30.12,58.53,0.76,0,3.94,0,0.85,1.06,0,11.61,3.21,2.89,219.58,0,11.69,3.37,0,8.32,65.19,0,0,153.72,0.67,150.69,7.31,0,0,551.57,0,16.35,1.55,24.24,0,1.98,0,1.71
 36-46,0,0,0,4.82,30.96,0,0,3.25,0,3.39,0,10.88,31.85,3.21,1.81,82.27,1.44,3.77,7.62,0,7.47,46.52,0,3.35,213.14,0,100.17,0.8,0,0,547.81,0,32.04,0,13.89,0,0,0,8.58
 48-58,0,0,0.46,1.51,16,0,0,13.64,0,5.24,0,43.56,19.6,3.04,1.75,53.23,9.34,12.91,2.53,0,15.3,38.8,0,0.5,149.46,0,85.58,2.75,0,0,446.31,0,10.84,0,7.37,0,0.51,0,19.98
 60-70,0,0,7.91,0,44.49,0.65,0,9.82,0,6.2,0,196.95,73.85,18.28,3.88,47.09,39.39,4.62,21.94,0,11.2,36.11,0,8.86,160.97,1.12,99.04,5.36,0,0,461.35,0,9.72,0,16.28,6.09,1.8,0,4.51
 72-82,0,0,30.75,1.12,55.44,0,0,28.1,0.95,5.06,0.84,467.27,242.09,1.76,15.43,80.82,41.82,6.65,13.2,0,33.61,56.17,0,1.22,173.5,0,154.77,14.64,0,0,213.21,0,3.26,0,7.34,11.88,7.15,0.9,10.23
 84-94,0,0,41.89,11.02,129.66,0,0,31.2,9.64,8.98,0.89,445.48,487.82,3.8,19.12,116.11,26.12,19.13,55.13,9.54,44.84,106.03,4.5,0,205.14,0,178.44,5.55,0,0,551.45,0,19.04,0,0.65,75.86,0,0,28.94
 96-106,0,0,41.05,22.03,147.46,9.18,2.62,72.5,2.9,8.25,0,452.21,612.1,0,26.55,191.53,2.22,10.96,51.51,0,36.98,98.7,0,0.9,230.53,0,205.85,13.41,0,0,567.5,1.35,8.75,0,10.97,118.88,1.38,2.86,3.53
108-118,0,0,33,25.07,149.91,1.15,0,15.5,0,12.83,1.91,478.09,644.56,0,29.87,155.36,13.95,12.48,54.01,0.58,50.55,77.6,0,0.48,180.65,0,128.61,16.56,0,0.76,449.47,0,12.46,0,4.69,133.24,1.4,0,9.52
120,0,0,37.51,9.28,153.32,0,0,24.86,2.98,18.37,0,507.44,517.59,0,20.35,109.33,7.22,10.36,64.84,0,15.86,61.51,0,7.52,217.7,0,233.79,28.52,0,9.96,398.73,0,9.81,0,12.11,52.54,15.53,0,2.85
