stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,1.71,0,0
 24-34,0,1.5,0,0,0.98,0,0,0.67,0,0,0,0,0,0,0,34.17,0,0,0,0,0,1.57,0,1.68
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,73.54,0,0,1.22,0,0,1.55,0,7.02
 48-58,0,0.94,0,0,0,0,0,4.8,0,4.82,0,1.69,0.89,0,0.4,111.88,1.04,0,0,0,0,9.24,0,14.71
 60-70,0,0,0,0,6.16,1.03,0,0.57,0,1.17,0,0,0,0,0,134.14,0,0,0,0,0,15.91,1.05,9.3
 72-82,0,0,0,0,26.1,0,0,0.57,3.97,0.65,8.65,2.76,2.57,0,0,182.51,0,2.92,0,0,0,4.76,0,9.79
 84-94,1.04,0,0,0,11.88,0,0,1.26,13.01,0.64,1.48,22.68,0.62,4.57,0,112.11,0,0,3.14,0,0,3.08,0,24.22
 96-106,2.27,0,0,1,21.9,0,0,2.56,16.95,0.86,0.7,0.6,0,0,0,156.49,0,0,0.68,0,0,1.16,0,7.88
108-118,0,0.9,1.03,0,26.73,0,0.5,4.68,39.98,2.84,2.26,3.7,3.58,0,0,117.03,2.48,0,1.93,0.87,0.53,7.42,0,16.15
120,0,8.8,0,0,11.22,0,0,2.49,42.19,5.16,4.14,0,0,0,0,215.85,15.11,0,0,3.69,0,8.93,0,2.85
