stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,2.54,1.93,0,0,0,0,0,8.59,0,0,8.3,0,0,0,0,0,0,3.3,0,0,0,0
 24-34,0,1.33,1.99,1.7,0,1.55,0,0.69,9.52,0,0.83,7.02,0,4.53,4.45,0,0,0,1.69,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.95,24.71,0,0,54.19,0.67,14.94,4.27,0,1.39,0,3.96,0,0,1.61,0
 48-58,0,0.5,0,1.02,0,0,0.5,0.66,43.01,0,0,34.56,0.37,2.99,0.86,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,3.18,0,0,0,0,79.47,0,0,34.73,1.97,0.74,3.46,0,0,0,2.9,0,0,3.22,0
 72-82,0,0,0,0,0,0.66,2.07,0,83.16,0,0,47.53,0,2.54,3.88,0,0,0,0,0,0.83,3.78,0.77
 84-94,0.61,0,0,0,0,2.04,0,0,140.67,0,0,50.84,1.93,1.43,9.84,0,0,0,0,0,0.71,0.69,0
 96-106,0,0,0,22.8,0,0,0,0,82.93,0,0,20.48,0,0,6.02,0.76,0,0,0,1.82,0,1.24,0
108-118,0,0,0,1.64,0.72,0.7,0,0,103.71,2.71,0,50.56,0,0.59,4.15,0,0,1.5,0,0,0,1.29,1.02
120,0,18.69,4.9,0,0,0,0,0,146.74,0,0,21.1,0,0,8.1,0,0,3.42,0,0,0,0,0
