stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,64.35,927.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.26,0,0,0,0,0,0,0,0
  5-6,13.96,312.67,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,10.67,0,0,0,0,0,0,0,0,0,41.68,0,0,0,16.72,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.06,0,0,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.92,0,0,0,14.82,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,0,1.76,1.11,9.97,0,0,0,0,0,0,0,0,0,0,0,15.45,0,0,0,20.74,0.9,0,0,0,0,0,0,1.23,2.97,0,0,0,0
 24-34,0,0,2.05,0,1.9,0,8.75,0,0,0,2.73,0,0,0,0,0,0.68,0,7.46,0,0,1.1,85.06,0,2.06,0,0,0,0,0,0,17.46,0,0,0,0
 36-46,0,0,0.95,0,0,0,40.62,0,0,0.89,8.34,0,0,0,0,0,0,0,4.26,0,0.77,0,218.31,0,0,3.53,0,0,0,0,0,54.51,0,0,0,0
 48-58,0,0,0,0,0.88,0,197.99,0,0,0,24.49,0,0,0,0,0,0,1.31,8.57,0,0,0,527.24,0,0,9.14,0,0,0,0,0,114.33,0,0,0,7.14
 60-70,0,0,0,0,0.68,0,724.81,0,0,0,236.45,1.26,0,0,0.65,0,0,0,14.78,0,0,0,1054.13,0,0,16.04,0,2.32,0,0,0,97.8,0,0,0,0
 72-82,0,0,2.27,0,3.64,0,454.72,7.1,0,1.49,519.93,0.85,0,0,0,2.4,7.38,0,55.81,0,0,0,1367.12,0,0,16.77,0,0,0,0,0,70.44,1.36,0,0,0
 84-94,0,0,2.2,0,5.48,0,518.88,0,0,0,418.54,0,0,0,0.64,0,0,0,47.34,0,4.2,0.87,938.85,0.67,0,25.6,0,0,0,4.19,0,55.29,1.01,1.3,3.33,0
 96-106,0,0,1.04,0,3.94,1.19,356.92,0,0,1.41,728.87,1.67,0,0,0.94,0,0,0,56.09,0.68,0,1.28,747.7,0,0,25.91,0,1.54,0,0.61,0,27.35,0,0.88,0,4.75
108-118,0,0,1.91,0,9.43,0,244.88,0,0,2.19,673.71,0.7,0,1.56,1.5,0.47,2.81,0,48.37,0,1.38,5.71,718.21,0,1.95,7.27,0,0,0,0,0,40.54,0,1.69,0,1.88
120,0,0,0,0,21.87,0,333.03,1.14,1.03,0,1175.89,14.18,0,0,0,0,1.02,0,26.88,0,0,0,1461.16,0,1.11,20.84,0,0,2.5,0,0,13.61,0,0,0,0
