stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,119.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.19,25.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.79,0,0,0,0,0,0
  7-9,0,0,0,5.38,0,0,0,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,47.46,0,3.76,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.55,0,24.1,0,0,0,4.75,0,0,0,0
 14-21,0,0,0.82,0,0,4.11,0,0.88,0,0,0,0,0,3.08,0,0,0,0,14.11,0,1.74,20.24,0,0,0,0,10.47,6.72,2.74,0,1.01,0
 24-34,0,0,0,0,0.63,4.56,0,36.22,0,1.04,0,0,0,17.03,0,0,0,0,6.56,0,0,54.08,0,0,2.91,0,14.6,0,14.85,0,21.12,0
 36-46,0,0,0,0,0,27.42,0,84.15,1.66,0.8,0,2.38,0,2.73,0,0,0,0,13.42,0.86,0.6,67.96,0.6,0,0,0,12.19,0,9.16,0,5.03,1.92
 48-58,0,0,0,0,0,39.19,0,41.36,0.58,0,1.27,2.87,0.51,2.74,0,0,0,1.21,3.61,0,0.89,110.44,0.44,0,0,0,4.38,0,17.33,0,2.19,1.97
 60-70,0,0,0,0,0.6,46.59,0,54.33,1.3,0,1.79,2.58,0.68,0,0,0,0,0,21.63,0,0.69,98.04,0,0,0,6.38,18.65,0,19.74,0,3.38,2.56
 72-82,0,0,0,0,2.49,349.37,0,48.58,0,0,5.85,6.2,5.3,1.33,5.65,0,1.24,0,4.89,0,0,71.83,0,0,0,0,23.33,0,5.64,0,1.74,0
 84-94,0,0,0,0,0.85,418.57,0,30.15,0,0.9,0,1.91,22.37,0,0,0.81,0.57,0,4.56,0,0.94,73.08,0,0,0,0,35.15,0,3.01,0.88,3.12,0.8
 96-106,0,0,0,1.03,0,439.06,0.92,23.33,0,0.96,0.59,14.2,26.21,3.33,0,0,13.28,0,5.99,1.09,9.66,65.14,2.07,0,0,2.07,32.65,0,1.73,0,12.77,0.6
108-118,0,0,0,0,0,219.09,1.47,34.46,6.48,0,0.48,15.21,46.96,0,0,1.2,9.92,0,7.43,0,0,26.66,1.36,0,0,4.1,46.21,0,0.63,0,4.86,0
120,0,0,0,0,0,224.62,5.3,41.99,2.85,1.37,16.69,17.88,65.68,0,0,0,12.54,0,1.44,0,1.86,66.23,0,0,0,0,33.74,0,0,0,0,0
