stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,36.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,9.71,0,0,0,12.13,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.34,0,0,0,18.92,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.09,0,0,1.21,6.96,0.8,0,0,0.82,0,0,0.91,0,0,3.69,2.9,0,0,0
 24-34,0,0,0,0,2.14,0,0,0,0,0,0,4.92,0,0,0,39.68,0,3,0,0,0,0,0,0,4.04,0,8.96,0,0,0
 36-46,0,0,9.6,0,8.23,0,0,1.14,0,0,0,2.42,0,0,0,98.94,0,0.83,0,0,0,0,0,0,0,0,1.89,0,0,0
 48-58,0,0,0,0,14.67,0,1.15,0.46,0,0,0,5.2,0,0,1.31,113.74,0,9.84,0,0,0,0,0,0,0,0,2.96,0.51,0,0
 60-70,0,0,0.88,0,138.18,0,0,17.08,0,0,0,7.91,0,1.78,0,246.27,0,4.81,0,0,0,0.83,0,0,0,0,17.33,1,0,0
 72-82,0,0,1.44,6.12,246.74,0,0,11.99,0,1.73,0,27.25,0,0,5.82,265.3,0,4.19,0,0,0,0,0,0,0,0,16.66,0,2.57,0
 84-94,0,0,2.55,0,240.76,0.8,0,17.89,1.33,0,0,5.53,0,0,0,180.78,0,0,0,0,0,0,0,0,0,0,5.5,3.02,2.24,0
 96-106,0,0,2.85,0,202.97,0,0,13.96,0,0,0,9.65,3.47,0,4.48,179.97,0,3.54,0,0,1.6,1.36,0,0,0,0,6.48,1.93,0,0
108-118,0,0,1.63,0,234.11,0,0,19.81,0,0,0.57,24.55,0,0.5,4.17,213.34,0,0,7.51,0,0,0.46,0,0.48,0,0,1.17,0,0,1.19
120,0,0,3.3,0,407.53,10.7,0,44.46,0,6.63,0,31.73,0,0,0,478.03,3.06,0,0,0,0,1.05,0,0,0,0,8.48,0,5.74,0
