stage,blastomeres,eye,fin.mesenchyme,glial,immune,mesenchyme,neural,olfactory,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,21.55,0,0,0,0,0,0,0,0,0,0
  5-6,26.94,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.64,0,0,0,0
 10-12,0,0,0,0,0,0,19.83,0,0,0,0
 14-21,0,0,0,0,0,0,3.11,0,0,0,0
 24-34,0,1.29,0,0,0,0,1.94,0.82,0.97,0.59,0
 36-46,0,2.77,0,0,0,0,2.27,0,0,0,0
 48-58,0,2.05,0,0.98,0,0.81,7.18,0,0.61,0,0
 60-70,0,3.91,0,0,0,0,1.63,0,2.18,0,0
 72-82,0,8.73,0,0.55,0,0,0.96,0,1.28,0,0
 84-94,0,16.68,2.12,0,0,0,2.4,0,0,0,0
 96-106,0,41.55,0,0,0,0,1.6,0,0,0,0
108-118,0,32.87,0,0,0,0,6.14,0,0,0,2.47
120,0,92.08,0,0,4.66,4.62,0,0,0,0,0
