stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,27.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.35,34.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.86,0,0,0,3.62,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21,0,13.66,0,0,0
 14-21,0,0,0,0.88,0,0,0,0,0,0,0,0,2.16,0,0,7.64,0,0,0,1.07,0,0,0,4.93,0
 24-34,0,0,0.76,0,0,1.05,0.62,0,0,0,0,0,0.77,0,0,16.52,0,0,3.73,0,0,0,0.71,2.16,1.57
 36-46,0,0,0,0,0,3.08,0,0,0,0,0,0.62,9.87,0,0,16.51,0,2.46,0,0,0,1.31,0,5.07,0
 48-58,0,0,0,0,0,0.91,0,0,4.67,0,0,0,0.47,0,0.48,8.82,0,1.29,0,0,0,0,0,0.96,0
 60-70,0,0,0,0.71,0,2.4,0,0,1,0.76,0,0,0,0,0,10.71,0,0.84,0,0,0,0,0,0.88,0
 72-82,0,0,0,0,0,7.95,0,1.07,2.02,0,0,0,1.04,0,0,14.74,0,0.75,0,0,1.57,0,0,0,0
 84-94,0,0,0,0,0.86,8.61,0.74,0,0,0,0,0,0.6,1.52,0,3.07,0,4.64,0,0,0,0,0,1,1.01
 96-106,0,0,0,5.87,0,0,0,0,0,0,1.33,0,0,0,0,3.94,0,1.7,0.61,0,0,0,0,0,0
108-118,0,0,0,2.49,0,0,0,0,0,0,0,0,1.97,0,0,5.43,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,6.95,0,0,4.3,1.24,0,0,0,0,0,0,0,0
