stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  7-9,15.2,0,0,3.87,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.58,15.44,0,0,23.53,0,0,0,0,0,0,0,0,0
 10-12,0,12.43,0,284.64,0,0,0,14.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876.57,165.69,0,0,54.3,3.1,0,0,0,4.75,0,0,0,0
 14-21,2.31,0,1.05,10.14,110.39,0.9,0,2.87,0,0,0,0,6.36,3.89,0,2.7,0,0,0,9.94,0,0,2.02,28.28,21.99,0,0,0.83,0,1.45,0.89,4.33,11.58,14.52,0,0,0
 24-34,0,0,0,0.62,63.71,0,0,14.88,0,14.73,0.62,6.07,0.73,2,0,0,0,0.63,0,10.3,1.68,0,0.65,114.38,0.94,1.86,0.61,0,1.9,0,4.25,1.9,2.7,22.8,0,13.23,0
 36-46,0,0,0,0,33.51,0,0,11.45,0,43.04,0,4.06,1.23,5.44,0,0,0,2.35,0.67,6.14,0,0,1.85,168.1,3.83,0,0,0,0,0,0,0,0.8,32.21,0,0,0
 48-58,0,0,0,0,26.27,0,0,4.95,0,6.31,0,10.11,0,1.26,0,0.4,0.39,0.53,0,11.98,0,0,2.43,148.84,3.67,0,1.5,0,0,0,0.53,0,0,12.88,0,0,0
 60-70,0,0,0,0,42.35,0,0,6.55,0,31.02,1.21,6.5,0,0,0.59,1.43,0,1.16,1.41,0,0,6.48,3.1,120.61,5.53,0,4.04,0,6.16,0,0,0,0,2.11,0,0,0
 72-82,0,0,0,0,29.97,0,0,10.06,0.8,12.25,0,11.97,2.95,0,0,1.02,0,2.57,0,5.12,0,1.68,1.69,249.79,0,2.41,3.37,0,0,0,2.46,0,0,23.21,0.5,0.97,0
 84-94,0,0,0,0,48.8,0,0,17.72,0,27.35,0,2.11,12.55,0,2.88,3.16,0.75,0,0,1.94,0,4.28,8.12,123.81,0,2.05,13.03,0,0,0,2.14,0,0,8.34,0,6.46,0
 96-106,0,0,0,0,10.64,0,0,2.39,0,1.76,0,2,0.6,0,0.72,0.56,0,0,0,7.17,0,0.8,0,53.69,0,1.4,4.6,0,0,0,0,0,0,1.07,0,0,1.71
108-118,0,0,2.91,0,31.29,0,0,2.83,0,13.81,0,0.47,7.11,0,0,0.71,0.63,0,0,4.31,0,0,0.89,38.94,0.77,0,7.1,0,0,0,0,0,0,7.84,0,0,0
120,0,0,0,0,13.45,0,5.29,11.51,0,2.69,0,2.82,1.33,0,0,1.01,0,0,0,0,0,2.03,0,44,0,0,2.51,0,0,0,0,0,0,8.38,0,1.96,0
