stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,9.29,27.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62,0,1.76,1.74,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,42.94,0,0,1.09,0,8.87,0,0,0,0,0,0.96,0,4.13,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.16,0,0,0,0,7.68,0,0.8,0,0,0,1.8,1.75,10.03,0
 96-106,0,0,2.37,2.29,4.4,0,1.81,5.38,3.33,0,3.87,0.74,0,0,671.38,0,8.62,5.62,0,102.99,1.92,11.08,0,3.17,1.44,8.18,0,10.7,0
108-118,0,0,6.92,0,47.3,1.05,0,0.52,1.67,0,0,1.14,0.8,0.85,1880.72,0.59,17.02,0.57,3.61,123.91,0.77,8.69,0.47,0,0,3.02,0.52,5.22,2.14
120,0,0,1.24,0,21.75,0,0,0,0,0,0,0,0,0,862.61,0,0,0,0,49.32,0,9.47,0,0,0,0,0,8.41,0
