stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.59,0,0,5.61,0,0,0,0,0
 14-21,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,55.22,0,1.08,1.83,0,0,0,5.39,0
 24-34,0,0,0,0,1.64,1.92,2.08,0,0.66,0,0,0.7,0,1.72,0,2.99,0,0,27.51,29.28,0,0,0,148.69,7.77,2.69,14.99,1.63,0,0,24.23,0
 36-46,0,0.56,0,0,0,11.73,5.86,1.6,0,1.94,0,0,0,0,0,2.22,0,0,10.48,22.08,0,0,0,126.6,0,5.66,0.69,3.34,0,0,25.61,0
 48-58,0,12.02,0,0,6.85,14.8,6.49,1.55,0.41,0,0,0,0,3.27,1.12,5.41,1.76,0.77,6.72,30.8,0,0,0,96.59,0,8.16,0,3.05,0,0,11.37,0
 60-70,0,10.09,0,1.03,4.5,9.55,6.22,2.55,0,0,0,0,0,1.63,0,5,0,0,7.84,13.14,0,0,0,37.94,0,4.65,0,4.69,0,0,6.17,0
 72-82,1.73,2.25,0,33.64,11.19,8.42,1.26,1.08,0,0,1.64,0,0,8.38,0,3.01,0.56,0,7.49,25.4,0,0.49,0,21.38,0,0.53,0,2.73,0,0.52,12.34,5.05
 84-94,0,5.55,0,45.62,2.39,14.01,5.46,0.6,0.6,0,1.03,1.16,0,10,0,1.45,0.78,1.07,2.05,30.99,0,0,0,45.05,0,0,0,0,0,1.18,10.79,0.56
 96-106,2.09,5.75,8.85,71.9,24.12,15.09,5.38,1.14,0.86,0,0,0,0,18.1,0,7.24,0,0,2.07,25.08,0.61,0,0,39.46,0,1.08,0,0,0.87,0,31.24,3.11
108-118,0.76,5.29,0,125.62,12.9,11.82,8.62,1.42,3.13,0,0,0,0.44,7.07,0,7.56,0,0,13.94,18.61,1.13,0,2.43,37.28,1.48,0.51,0,0,0,1.59,23.36,3.21
120,0,23.09,2.03,38.58,11.66,29.44,3.2,0,4.28,0,0,0,0,3.23,0,5.68,0,0,24.68,16.32,0,0,0,12.91,0,1.52,0,0,0,0,30.16,5.89
